category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
1287	GO:0006836	0.0118999813075824	0.999733932214811	2	3	neurotransmitter transport	BP
859	GO:0005094	0.0121300559870734	1	1	1	Rho GDP-dissociation inhibitor activity	MF
1038	GO:0006071	0.0123032881832877	0.999607088531079	2	4	glycerol metabolic process	BP
924	GO:0005554	0.0123330964436819	0.996181580149532	8	108	NA	NA
3041	GO:0046933	0.0125452614908252	0.996949735324468	6	55	proton-transporting ATP synthase activity, rotational mechanism	MF
1863	GO:0009703	0.0127969034593616	1	1	1	nitrate reductase (NADH) activity	MF
881	GO:0005262	0.0155077956719405	0.999600267821294	2	3	calcium channel activity	MF
1961	GO:0015629	0.0157913736553143	0.998172292005449	3	24	actin cytoskeleton	CC
3047	GO:0046961	0.0158719749288526	0.995932393949254	6	56	proton-transporting ATPase activity, rotational mechanism	MF
737	GO:0004721	0.0165158855916111	0.994634041624654	8	96	phosphoprotein phosphatase activity	MF
2133	GO:0016471	0.0171903972799542	1	1	1	vacuolar proton-transporting V-type ATPase complex	CC
2132	GO:0016469	0.0181873035938158	0.995945600827011	5	41	proton-transporting two-sector ATPase complex	CC
258	GO:0003956	0.0188804630004776	0.996844807192223	4	18	NAD(P)+-protein-arginine ADP-ribosyltransferase activity	MF
2559	GO:0019700	0.019292602362992	0.999216190268571	2	4	organic phosphonate catabolic process	BP
1979	GO:0015734	0.0201623692871467	0.999400683880373	2	3	taurine transport	BP
1298	GO:0006884	0.0202694613822241	1	1	1	cell volume homeostasis	BP
1733	GO:0009055	0.0211824734519114	0.994131576319605	6	75	electron carrier activity	MF
1237	GO:0006631	0.0216526220377579	0.997303874530711	3	16	fatty acid metabolic process	BP
1345	GO:0007186	0.0223473209505809	0.992989412791102	7	82	G-protein coupled receptor signaling pathway	BP
980	GO:0005840	0.0230627777293767	0.989515023986845	13	296	ribosome	CC
2663	GO:0030532	0.0233007946196443	0.99986293506036	1	2	small nuclear ribonucleoprotein complex	CC
1171	GO:0006471	0.0235226857975354	0.995728145947358	4	20	protein ADP-ribosylation	BP
2926	GO:0044238	0.023615598249062	1	1	1	primary metabolic process	BP
27	GO:0000124	0.0237922801852875	0.999857056007566	1	2	SAGA complex	CC
1828	GO:0009405	0.0238607582546123	0.997067613470167	3	12	pathogenesis	BP
1624	GO:0008810	0.02444319482924	1	1	1	cellulase activity	MF
2603	GO:0030042	0.0245309649740326	1	1	1	actin filament depolymerization	BP
870	GO:0005216	0.0249106427388709	0.988653594147264	13	185	ion channel activity	MF
1118	GO:0006357	0.0249828669542607	0.998459023081809	2	7	regulation of transcription from RNA polymerase II promoter	BP
1387	GO:0008137	0.0253353029687764	0.998286800533955	2	10	NADH dehydrogenase (ubiquinone) activity	MF
1275	GO:0006811	0.0259656419373796	0.987716252764395	14	201	ion transport	BP
1567	GO:0008691	0.0264728817780036	0.998315257277059	2	7	3-hydroxybutyryl-CoA dehydrogenase activity	MF
2904	GO:0043531	0.0270956266444531	0.996569455676347	3	11	ADP binding	MF
3160	GO:0050662	0.0277229143888598	0.991907709683969	6	61	coenzyme binding	MF
156	GO:0003735	0.0288877414065349	0.986450028202195	13	307	structural constituent of ribosome	MF
1630	GO:0008825	0.029615120238757	0.998246205406669	2	5	cyclopropane-fatty-acyl-phospholipid synthase activity	MF
2618	GO:0030148	0.032343429839872	1	1	1	sphingolipid biosynthetic process	BP
2825	GO:0042284	0.032343429839872	1	1	1	sphingolipid delta-4 desaturase activity	MF
1436	GO:0008299	0.0328865479680421	0.991526349019211	5	36	isoprenoid biosynthetic process	BP
3253	GO:0070588	0.0342861837911637	0.995352130640875	3	10	calcium ion transmembrane transport	BP
2156	GO:0016616	0.0348568680101408	0.987995556023854	7	85	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	MF
1245	GO:0006662	0.0349758260198137	0.990517119932016	5	68	glycerol ether metabolic process	BP
1313	GO:0006950	0.0361609244967477	0.986395421610647	8	96	response to stress	BP
1688	GO:0008943	0.0366859512093722	0.99450985395083	3	14	NA	NA
666	GO:0004639	0.0392915939419085	1	1	1	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	MF
2158	GO:0016620	0.0396068989283759	0.991097401728515	4	33	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	MF
121	GO:0001678	0.0400589569062192	1	1	1	cellular glucose homeostasis	BP
921	GO:0005536	0.0400589569062192	1	1	1	glucose binding	MF
1373	GO:0008081	0.0416590154059477	0.990670105468767	4	26	phosphoric diester hydrolase activity	MF
498	GO:0004366	0.0424454940532299	1	1	1	glycerol-3-phosphate O-acyltransferase activity	MF
1243	GO:0006650	0.0424454940532299	1	1	1	glycerophospholipid metabolic process	BP
2923	GO:0044070	0.042777712008807	1	1	1	regulation of anion transport	BP
2280	GO:0016937	0.0466990587143281	0.996146733266789	2	6	short-branched-chain-acyl-CoA dehydrogenase activity	MF
2318	GO:0017099	0.0466990587143281	0.996146733266789	2	6	very-long-chain-acyl-CoA dehydrogenase activity	MF
2481	GO:0019109	0.0466990587143281	0.996146733266789	2	6	NA	NA
1058	GO:0006118	0.046705849760661	0.971227756856231	25	476	NA	NA
2254	GO:0016853	0.0470259461743158	0.982601475306339	7	109	isomerase activity	MF
2181	GO:0016702	0.0471400722209528	0.992118391886005	3	15	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	MF
3120	GO:0050096	0.0473540996544541	1	1	1	methylaspartate ammonia-lyase activity	MF
497	GO:0004365	0.0475463033613507	0.991948571989461	3	16	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	MF
710	GO:0004692	0.0477004557926874	0.984026532497481	6	77	cGMP-dependent protein kinase activity	MF
1059	GO:0006120	0.0478527874076653	0.99922152873602	1	3	mitochondrial electron transport, NADH to ubiquinone	BP
529	GO:0004411	0.0483584352063329	1	1	1	homogentisate 1,2-dioxygenase activity	MF
1223	GO:0006572	0.0483584352063329	1	1	1	tyrosine catabolic process	BP
2601	GO:0030036	0.0486076536432133	0.995406679437014	2	9	actin cytoskeleton organization	BP
2211	GO:0016765	0.0487749031595919	0.991429177703793	3	20	transferase activity, transferring alkyl or aryl (other than methyl) groups	MF
952	GO:0005741	0.0495558301871087	0.983319776758471	6	69	mitochondrial outer membrane	CC
664	GO:0004637	0.0498810025632945	0.995729597728827	2	6	phosphoribosylamine-glycine ligase activity	MF
2168	GO:0016639	0.050448299524351	0.991180619651193	3	17	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor	MF
2474	GO:0019001	0.0524877876855887	0.994408745418382	2	15	guanyl nucleotide binding	MF
2721	GO:0031683	0.0524877876855887	0.994408745418382	2	15	G-protein beta/gamma-subunit complex binding	MF
2654	GO:0030416	0.0529644005489233	1	1	1	methylamine metabolic process	BP
2550	GO:0019619	0.0535210418160776	0.994802424980869	2	8	protocatechuate catabolic process	BP
1170	GO:0006470	0.0541660283584844	0.979363374957244	7	103	protein dephosphorylation	BP
2215	GO:0016773	0.0542273975753884	0.975210811073879	10	148	phosphotransferase activity, alcohol group as acceptor	MF
284	GO:0003995	0.0564777309900746	0.989592835028768	3	18	acyl-CoA dehydrogenase activity	MF
2020	GO:0015991	0.0564778957313514	0.989420247014283	3	21	ATP hydrolysis coupled proton transport	BP
1779	GO:0009245	0.0572425097564872	0.993651025900947	2	14	lipid A biosynthetic process	BP
1633	GO:0008830	0.057848589940758	1	1	1	dTDP-4-dehydrorhamnose 3,5-epimerase activity	MF
1634	GO:0008831	0.057848589940758	1	1	1	dTDP-4-dehydrorhamnose reductase activity	MF
3081	GO:0047598	0.0585563850968533	1	1	1	7-dehydrocholesterol reductase activity	MF
1598	GO:0008756	0.0588568703176567	0.985252317637515	4	26	o-succinylbenzoate-CoA ligase activity	MF
911	GO:0005506	0.0618746208563162	0.969772664915626	11	188	iron ion binding	MF
3289	GO:1901023	0.062032555485825	0.98770726587989	3	26	4-hydroxyphenylacetate catabolic process	BP
752	GO:0004745	0.0624535923115893	0.998995145213167	1	2	retinol dehydrogenase activity	MF
517	GO:0004396	0.0630635079873859	0.998975094077841	1	2	hexokinase activity	MF
2574	GO:0019835	0.065193932531768	0.998543401552525	1	3	cytolysis	BP
2958	GO:0045454	0.065501833406711	0.973809967856981	7	133	cell redox homeostasis	BP
3212	GO:0051603	0.0657397221381394	0.992121647942342	2	14	proteolysis involved in cellular protein catabolic process	BP
1794	GO:0009308	0.0664537823016689	0.998859900707414	1	2	amine metabolic process	BP
1203	GO:0006537	0.0670764811283878	0.986658128771486	3	19	glutamate biosynthetic process	BP
1752	GO:0009102	0.0692110505169847	0.974601970701056	6	77	biotin biosynthetic process	BP
1135	GO:0006406	0.0699932232182045	0.998732852605184	1	2	mRNA export from nucleus	BP
2046	GO:0016153	0.0700905928295848	1	1	1	urocanate hydratase activity	MF
646	GO:0004611	0.0701847912222148	1	1	1	phosphoenolpyruvate carboxykinase activity	MF
647	GO:0004612	0.0701847912222148	1	1	1	phosphoenolpyruvate carboxykinase (ATP) activity	MF
2313	GO:0017076	0.0701847912222148	1	1	1	purine nucleotide binding	MF
201	GO:0003871	0.0706220534574433	1	1	1	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	MF
565	GO:0004471	0.0708455457663201	1	1	1	malate dehydrogenase (decarboxylating) (NAD+) activity	MF
396	GO:0004163	0.0716952630457736	1	1	1	diphosphomevalonate decarboxylase activity	MF
2525	GO:0019370	0.0719368130966685	1	1	1	leukotriene biosynthetic process	BP
403	GO:0004175	0.0729307066439754	0.990599878931815	2	16	endopeptidase activity	MF
979	GO:0005839	0.0729307066439754	0.990599878931815	2	16	proteasome core complex	CC
2747	GO:0033177	0.0730051507190363	0.997718048116603	1	6	proton-transporting two-sector ATPase complex, proton-transporting domain	CC
3277	GO:0072546	0.0744623277471172	1	1	1	ER membrane protein complex	CC
1811	GO:0009345	0.0745200582571586	1	1	1	glycine-tRNA ligase complex	CC
2537	GO:0019478	0.0747865010001921	0.99854967696604	1	2	D-amino acid catabolic process	BP
2619	GO:0030150	0.0751784953617817	0.998053978612959	1	3	protein import into mitochondrial matrix	BP
564	GO:0004470	0.075311020513574	0.998528852031348	1	2	malic enzyme activity	MF
854	GO:0005057	0.0764249262504526	1	1	1	receptor signaling protein activity	MF
3155	GO:0050613	0.0766073771798115	1	1	1	delta14-sterol reductase activity	MF
1755	GO:0009108	0.0778313770751763	0.99842663047928	1	2	coenzyme biosynthetic process	BP
2018	GO:0015986	0.0778363646258619	0.977691664300294	4	50	ATP synthesis coupled proton transport	BP
1276	GO:0006812	0.0779213263048995	0.963808984687653	9	112	cation transport	BP
905	GO:0005478	0.0780177636376136	0.99790140388321	1	3	NA	NA
2122	GO:0016442	0.0788444841355652	1	1	1	RISC complex	CC
2691	GO:0031047	0.0788444841355652	1	1	1	gene silencing by RNA	BP
991	GO:0005882	0.0796689032360201	1	1	1	intermediate filament	CC
1438	GO:0008308	0.0808049611309922	0.998301421765292	1	2	voltage-gated anion channel activity	MF
1581	GO:0008718	0.0827377822016692	0.998217352511598	1	2	D-amino-acid dehydrogenase activity	MF
1552	GO:0008662	0.0831139690657653	0.988724469758821	2	13	1-phosphofructokinase activity	MF
376	GO:0004130	0.0841066867631407	0.997254962274996	1	4	cytochrome-c peroxidase activity	MF
725	GO:0004707	0.0841184133517345	0.96742031219481	6	89	MAP kinase activity	MF
997	GO:0005938	0.0844593872728422	1	1	1	cell cortex	CC
2728	GO:0032065	0.0844593872728422	1	1	1	cortical protein anchoring	BP
1300	GO:0006886	0.0847205232517093	0.95491698270021	12	205	intracellular protein transport	BP
2007	GO:0015936	0.0850572217215961	0.998113664623755	1	2	coenzyme A metabolic process	BP
563	GO:0004467	0.0855529635982174	0.989151661109034	2	8	long-chain fatty acid-CoA ligase activity	MF
2265	GO:0016878	0.0864965247119904	0.980983561908747	3	18	acid-thiol ligase activity	MF
129	GO:0001888	0.0868382954580337	0.998031961746974	1	2	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity	MF
3057	GO:0047134	0.0878575209726152	0.997984391060868	1	2	protein-disulfide reductase activity	MF
2696	GO:0031123	0.0896681860039424	0.997898412678742	1	2	RNA 3'-end processing	BP
2909	GO:0043631	0.0896681860039424	0.997898412678742	1	2	RNA polyadenylation	BP
668	GO:0004641	0.0905902207171673	1	1	1	phosphoribosylformylglycinamidine cyclo-ligase activity	MF
370	GO:0004123	0.0906156691215903	0.997852671454485	1	2	cystathionine gamma-lyase activity	MF
1851	GO:0009523	0.0911396150590745	0.986235990741155	2	24	photosystem II	CC
161	GO:0003756	0.093544213506586	0.977727833378172	3	32	protein disulfide isomerase activity	MF
2592	GO:0020037	0.0936014488655321	0.966746739025237	5	61	heme binding	MF
449	GO:0004299	0.0956323678337974	0.977203490765047	3	28	NA	NA
237	GO:0003920	0.0958237512010491	0.997591995430281	1	2	GMP reductase activity	MF
3292	GO:1902560	0.0958237512010491	0.997591995430281	1	2	GMP reductase complex	CC
1112	GO:0006350	0.0963255940560653	0.977023927503634	3	27	NA	NA
986	GO:0005856	0.0976581373134634	0.970471726318011	4	32	cytoskeleton	CC
1596	GO:0008747	0.0984632794232987	0.996624669494389	1	3	N-acetylneuraminate lyase activity	MF
1642	GO:0008840	0.0984632794232987	0.996624669494389	1	3	4-hydroxy-tetrahydrodipicolinate synthase	MF
2578	GO:0019877	0.0984632794232987	0.996624669494389	1	3	diaminopimelate biosynthetic process	BP
3075	GO:0047448	0.0984632794232987	0.996624669494389	1	3	5-dehydro-4-deoxyglucarate dehydratase activity	MF
1193	GO:0006522	0.0993522828291663	0.99656197755444	1	3	alanine metabolic process	BP
577	GO:0004489	0.100425581600723	0.995802324947908	1	5	methylenetetrahydrofolate reductase (NAD(P)H) activity	MF
1210	GO:0006555	0.100425581600723	0.995802324947908	1	5	methionine metabolic process	BP
3065	GO:0047307	0.100542062189371	0.997342241604647	1	2	diaminobutyrate-pyruvate transaminase activity	MF
3110	GO:0048269	0.100725967730123	0.997332243851249	1	2	methionine adenosyltransferase complex	CC
3111	GO:0048270	0.100725967730123	0.997332243851249	1	2	methionine adenosyltransferase regulator activity	MF
2028	GO:0016021	0.100939961702103	0.922616273663434	57	1369	integral component of membrane	CC
697	GO:0004675	0.101561048704347	0.962797515514455	5	74	transmembrane receptor protein serine/threonine kinase activity	MF
698	GO:0004676	0.101561048704347	0.962797515514455	5	74	3-phosphoinositide-dependent protein kinase activity	MF
700	GO:0004679	0.101561048704347	0.962797515514455	5	74	AMP-activated protein kinase activity	MF
701	GO:0004680	0.101561048704347	0.962797515514455	5	74	NA	NA
702	GO:0004681	0.101561048704347	0.962797515514455	5	74	NA	NA
706	GO:0004688	0.101561048704347	0.962797515514455	5	74	NA	NA
707	GO:0004689	0.101561048704347	0.962797515514455	5	74	phosphorylase kinase activity	MF
708	GO:0004690	0.101561048704347	0.962797515514455	5	74	cyclic nucleotide-dependent protein kinase activity	MF
712	GO:0004694	0.101561048704347	0.962797515514455	5	74	eukaryotic translation initiation factor 2alpha kinase activity	MF
713	GO:0004695	0.101561048704347	0.962797515514455	5	74	NA	NA
714	GO:0004696	0.101561048704347	0.962797515514455	5	74	NA	NA
716	GO:0004698	0.101561048704347	0.962797515514455	5	74	calcium-dependent protein kinase C activity	MF
718	GO:0004700	0.101561048704347	0.962797515514455	5	74	NA	NA
719	GO:0004701	0.101561048704347	0.962797515514455	5	74	NA	NA
720	GO:0004702	0.101561048704347	0.962797515514455	5	74	receptor signaling protein serine/threonine kinase activity	MF
722	GO:0004704	0.101561048704347	0.962797515514455	5	74	NF-kappaB-inducing kinase activity	MF
723	GO:0004705	0.101561048704347	0.962797515514455	5	74	JUN kinase activity	MF
724	GO:0004706	0.101561048704347	0.962797515514455	5	74	JUN kinase kinase kinase activity	MF
726	GO:0004708	0.101561048704347	0.962797515514455	5	74	MAP kinase kinase activity	MF
728	GO:0004710	0.101561048704347	0.962797515514455	5	74	NA	NA
729	GO:0004711	0.101561048704347	0.962797515514455	5	74	ribosomal protein S6 kinase activity	MF
733	GO:0004715	0.101561048704347	0.962797515514455	5	74	non-membrane spanning protein tyrosine kinase activity	MF
734	GO:0004716	0.101561048704347	0.962797515514455	5	74	receptor signaling protein tyrosine kinase activity	MF
735	GO:0004718	0.101561048704347	0.962797515514455	5	74	NA	NA
1447	GO:0008338	0.101561048704347	0.962797515514455	5	74	NA	NA
1448	GO:0008339	0.101561048704347	0.962797515514455	5	74	NA	NA
1449	GO:0008349	0.101561048704347	0.962797515514455	5	74	MAP kinase kinase kinase kinase activity	MF
1461	GO:0008384	0.101561048704347	0.962797515514455	5	74	IkappaB kinase activity	MF
1480	GO:0008443	0.101561048704347	0.962797515514455	5	74	phosphofructokinase activity	MF
1519	GO:0008545	0.101561048704347	0.962797515514455	5	74	JUN kinase kinase activity	MF
1537	GO:0008607	0.101561048704347	0.962797515514455	5	74	phosphorylase kinase regulator activity	MF
1628	GO:0008819	0.101561048704347	0.962797515514455	5	74	cobinamide kinase activity	MF
2275	GO:0016908	0.101561048704347	0.962797515514455	5	74	NA	NA
2276	GO:0016909	0.101561048704347	0.962797515514455	5	74	SAP kinase activity	MF
2446	GO:0018720	0.101561048704347	0.962797515514455	5	74	phenol kinase activity	MF
2504	GO:0019199	0.101561048704347	0.962797515514455	5	74	transmembrane receptor protein kinase activity	MF
2587	GO:0019912	0.101561048704347	0.962797515514455	5	74	cyclin-dependent protein kinase activating kinase activity	MF
2588	GO:0019914	0.101561048704347	0.962797515514455	5	74	cyclin-dependent protein kinase activating kinase regulator activity	MF
2781	GO:0035004	0.101561048704347	0.962797515514455	5	74	phosphatidylinositol 3-kinase activity	MF
2845	GO:0042556	0.101561048704347	0.962797515514455	5	74	eukaryotic elongation factor-2 kinase regulator activity	MF
2846	GO:0042557	0.101561048704347	0.962797515514455	5	74	eukaryotic elongation factor-2 kinase activator activity	MF
711	GO:0004693	0.102263707038606	0.962448401840045	5	75	cyclin-dependent protein serine/threonine kinase activity	MF
871	GO:0005219	0.102530322920492	1	1	1	ryanodine-sensitive calcium-release channel activity	MF
872	GO:0005220	0.102530322920492	1	1	1	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	MF
1295	GO:0006874	0.102530322920492	1	1	1	cellular calcium ion homeostasis	BP
1212	GO:0006559	0.102654507662163	0.997226208180597	1	2	L-phenylalanine catabolic process	BP
569	GO:0004478	0.103451921762158	0.996265036897581	1	3	methionine adenosyltransferase activity	MF
271	GO:0003979	0.103628505773422	0.997171825864375	1	2	UDP-glucose 6-dehydrogenase activity	MF
291	GO:0004001	0.105405861092093	0.995365695553629	1	5	adenosine kinase activity	MF
732	GO:0004714	0.106055038743086	0.960631590025559	5	75	transmembrane receptor protein tyrosine kinase activity	MF
1457	GO:0008380	0.106221272561867	0.996057132923658	1	3	RNA splicing	BP
117	GO:0001664	0.10838515713876	0.996898209058061	1	2	G-protein coupled receptor binding	MF
1347	GO:0007189	0.10838515713876	0.996898209058061	1	2	adenylate cyclase-activating G-protein coupled receptor signaling pathway	BP
615	GO:0004566	0.108477601758922	0.996892758824963	1	2	beta-glucuronidase activity	MF
124	GO:0001727	0.108669232518581	0.995868421138924	1	3	lipid kinase activity	MF
115	GO:0001584	0.108731792688869	0.965059051336943	4	50	NA	NA
1901	GO:0015035	0.108757733858028	0.959085516221725	5	94	protein disulfide oxidoreductase activity	MF
715	GO:0004697	0.111381651958529	0.957995893799729	5	78	protein kinase C activity	MF
704	GO:0004683	0.111537448773788	0.957950260170833	5	76	calmodulin-dependent protein kinase activity	MF
858	GO:0005093	0.111781506629954	0.996694638341957	1	2	Rab GDP-dissociation inhibitor activity	MF
448	GO:0004298	0.112309987952283	0.971092908851421	3	32	threonine-type endopeptidase activity	MF
2189	GO:0016717	0.112514187439969	0.981287751177015	2	17	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	MF
3064	GO:0047304	0.113355463950197	0.996597968267596	1	2	2-aminoethylphosphonate-pyruvate transaminase activity	MF
2005	GO:0015934	0.113809242600924	0.980194256618909	2	31	large ribosomal subunit	CC
61	GO:0000253	0.115005380700155	0.980531069400748	2	18	3-keto sterol reductase activity	MF
580	GO:0004495	0.115005380700155	0.980531069400748	2	18	mevaldate reductase activity	MF
1656	GO:0008875	0.115005380700155	0.980531069400748	2	18	gluconate dehydrogenase activity	MF
2064	GO:0016229	0.115005380700155	0.980531069400748	2	18	steroid dehydrogenase activity	MF
2364	GO:0018451	0.115005380700155	0.980531069400748	2	18	epoxide dehydrogenase activity	MF
2365	GO:0018452	0.115005380700155	0.980531069400748	2	18	5-exo-hydroxycamphor dehydrogenase activity	MF
2366	GO:0018453	0.115005380700155	0.980531069400748	2	18	2-hydroxytetrahydrofuran dehydrogenase activity	MF
3109	GO:0048258	0.115005380700155	0.980531069400748	2	18	3-ketoglucose-reductase activity	MF
559	GO:0004457	0.115350995115232	0.996473275841136	1	2	lactate dehydrogenase activity	MF
1045	GO:0006089	0.115350995115232	0.996473275841136	1	2	lactate metabolic process	BP
1031	GO:0006024	0.115677398505771	0.995302398772501	1	3	glycosaminoglycan biosynthetic process	BP
1896	GO:0015012	0.115677398505771	0.995302398772501	1	3	heparan sulfate proteoglycan biosynthetic process	BP
884	GO:0005283	0.116179206614698	0.996420823310602	1	2	sodium:amino acid symporter activity	MF
1509	GO:0008519	0.116565076195454	0.980110431001639	2	18	ammonium transmembrane transporter activity	MF
2538	GO:0019491	0.119398660963135	0.994986219515007	1	3	ectoine biosynthetic process	BP
1651	GO:0008864	0.120008919336461	0.996172911279186	1	2	formyltetrahydrofolate deformylase activity	MF
2057	GO:0016210	0.120265904625902	0.996155958741441	1	2	naringenin-chalcone synthase activity	MF
705	GO:0004686	0.12059503861545	0.953449211816072	5	76	elongation factor-2 kinase activity	MF
551	GO:0004448	0.120751327208192	0.978872736187595	2	19	isocitrate dehydrogenase activity	MF
455	GO:0004310	0.120828995698878	0.994861788556885	1	3	farnesyl-diphosphate farnesyltransferase activity	MF
973	GO:0005801	0.120990238584893	0.993852411891705	1	5	cis-Golgi network	CC
3186	GO:0051156	0.122191365089648	0.994105804751734	1	4	glucose 6-phosphate metabolic process	BP
730	GO:0004712	0.123040635582066	0.952213825350823	5	76	protein serine/threonine/tyrosine kinase activity	MF
1209	GO:0006548	0.123148986576904	0.995963028083335	1	2	histidine catabolic process	BP
60	GO:0000252	0.123980443045365	0.977967538273983	2	19	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	MF
2140	GO:0016538	0.125213393884255	0.951040739924141	5	80	cyclin-dependent protein serine/threonine kinase regulator activity	MF
2523	GO:0019354	0.125483499678561	0.995803105175489	1	2	siroheme biosynthetic process	BP
2887	GO:0043115	0.125483499678561	0.995803105175489	1	2	precorrin-2 dehydrogenase activity	MF
699	GO:0004677	0.12615132014487	0.950612398433194	5	77	DNA-dependent protein kinase activity	MF
2722	GO:0031929	0.127159516521989	0.993602202805465	1	4	TOR signaling	BP
2723	GO:0031931	0.127159516521989	0.993602202805465	1	4	TORC1 complex	CC
1360	GO:0007585	0.127566273642935	0.994253883032174	1	3	respiratory gaseous exchange	BP
2754	GO:0033608	0.130362542731732	0.995458115087486	1	2	formyl-CoA transferase activity	MF
3231	GO:0052855	0.13045763558188	0.992822845564616	1	5	ADP-dependent NAD(P)H-hydrate dehydratase activity	MF
838	GO:0004867	0.132252694239581	0.976260212748414	2	14	serine-type endopeptidase inhibitor activity	MF
1758	GO:0009117	0.132440764001261	0.993791483312166	1	3	nucleotide metabolic process	BP
1066	GO:0006164	0.132532539639553	0.976005541236479	2	15	purine nucleotide biosynthetic process	BP
938	GO:0005669	0.133367333068905	0.991814507602027	1	8	transcription factor TFIID complex	CC
1498	GO:0008479	0.133390853754775	0.992939569509978	1	4	queuine tRNA-ribosyltransferase activity	MF
1136	GO:0006412	0.134023668358629	0.920526449825699	13	344	translation	BP
311	GO:0004030	0.134255915286434	0.995172314317959	1	2	aldehyde dehydrogenase [NAD(P)+] activity	MF
1041	GO:0006081	0.134255915286434	0.995172314317959	1	2	cellular aldehyde metabolic process	BP
3103	GO:0048038	0.134860855201504	0.992778193872603	1	4	quinone binding	MF
2307	GO:0017057	0.135510452512038	0.992238779616939	1	5	6-phosphogluconolactonase activity	MF
1944	GO:0015379	0.136146109496457	0.995030177354536	1	2	potassium:chloride symporter activity	MF
1068	GO:0006166	0.136813084288548	0.991542449045115	1	7	purine ribonucleoside salvage	BP
3195	GO:0051287	0.137038231865666	0.920576908375078	12	240	NAD binding	MF
721	GO:0004703	0.137261368776242	0.944827323379703	5	78	G-protein coupled receptor kinase activity	MF
2098	GO:0016410	0.137866547172475	0.973634270700095	2	22	N-acyltransferase activity	MF
1769	GO:0009190	0.138072062462575	0.961599068525784	3	26	cyclic nucleotide biosynthetic process	BP
2251	GO:0016849	0.138072062462575	0.961599068525784	3	26	phosphorus-oxygen lyase activity	MF
