category	term	pvalue	FDR	Phenotype
GO:0032784	regulation of DNA-templated transcription, elongation	0.015928510544095401	NaN	+1
GO:0006629	lipid metabolic process	0.016717483527784998	NaN	+1
GO:0008704	5-carboxymethyl-2-hydroxymuconate delta-isomerase activity	0.019372548519350299	NaN	+1
GO:0018800	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity	0.019372548519350299	NaN	+1
GO:0005840	ribosome	0.020165383505514702	NaN	+1
GO:0006812	cation transport	0.0202248865356696	NaN	+1
GO:0006886	intracellular protein transport	0.020454468665859898	NaN	+1
GO:0005262	calcium channel activity	0.020501680464624802	NaN	+1
GO:0016471	vacuolar proton-transporting V-type ATPase complex	0.020906354205788801	NaN	+1
GO:1901023	4-hydroxyphenylacetate catabolic process	0.0222594755244395	NaN	+1
GO:0005506	iron ion binding	0.024466846603473001	NaN	+1
GO:0015629	actin cytoskeleton	0.025972857829298101	NaN	+1
GO:0003735	structural constituent of ribosome	0.025994013743843799	NaN	+1
GO:0015734	taurine transport	0.0263275677140523	NaN	+1
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	0.0273264674045487	NaN	+1
GO:0031012	extracellular matrix	0.027452374034532299	NaN	+1
GO:0030532	small nuclear ribonucleoprotein complex	0.028051589204837399	NaN	+1
GO:0000124	SAGA complex	0.028662879842232401	NaN	+1
GO:0044238	primary metabolic process	0.0289207114452718	NaN	+1
GO:0008810	cellulase activity	0.029948808659439299	NaN	+1
GO:0030042	actin filament depolymerization	0.030057758609721	NaN	+1
GO:0006816	calcium ion transport	0.0311001367873039	NaN	+1
GO:0006163	purine nucleotide metabolic process	0.031276121679220302	NaN	+1
GO:0008519	ammonium transmembrane transporter activity	0.031672059177918502	NaN	+1
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	0.032589090257568197	NaN	+1
GO:0008817	cob(I)yrinic acid a,c-diamide adenosyltransferase activity	0.032665198993321501	NaN	+1
GO:0046961	proton-transporting ATPase activity, rotational mechanism	0.033784011549472498	NaN	+1
GO:0006357	regulation of transcription from RNA polymerase II promoter	0.033820365242865601	NaN	+1
GO:0006631	fatty acid metabolic process	0.0347877647097821	NaN	+1
GO:0017004	cytochrome complex assembly	0.035294779022738997	NaN	+1
GO:0016469	proton-transporting two-sector ATPase complex	0.035353464377096799	NaN	+1
GO:0019789	SUMO transferase activity	0.035918718071506102	NaN	+1
GO:0008691	3-hydroxybutyryl-CoA dehydrogenase activity	0.036694831879965202	NaN	+1
GO:0004692	cGMP-dependent protein kinase activity	0.038136191283088899	NaN	+1
GO:0030148	sphingolipid biosynthetic process	0.039671420872507898	NaN	+1
GO:0042284	sphingolipid delta-4 desaturase activity	0.039671420872507898	NaN	+1
GO:0003756	protein disulfide isomerase activity	0.040308952901558101	NaN	+1
GO:0008825	cyclopropane-fatty-acyl-phospholipid synthase activity	0.040673203140893802	NaN	+1
GO:0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	0.041252173153302797	NaN	+1
GO:0004840		0.041298153444194997	NaN	+1
GO:0003905	alkylbase DNA N-glycosylase activity	0.0418703350622808	NaN	+1
GO:0038032	termination of G-protein coupled receptor signaling pathway	0.042214095179439498	NaN	+1
GO:0006512		0.043532698834159701	NaN	+1
GO:0006118		0.046030458601300499	NaN	+1
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	0.048028808834365	NaN	+1
GO:0001678	cellular glucose homeostasis	0.048937144137334999	NaN	+1
GO:0005536	glucose binding	0.048937144137334999	NaN	+1
GO:0070588	calcium ion transmembrane transport	0.0497869775146009	NaN	+1
GO:0006508	proteolysis	0.043855432527014002	NaN	-1
GO:0005524	ATP binding	0.0349095778944652	NaN	-1
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	0.048807284111222198	NaN	-1
GO:0003723	RNA binding	0.0199758289720369	NaN	-1
GO:0007018	microtubule-based movement	0.046551748303542702	NaN	-1
GO:0016757	transferase activity, transferring glycosyl groups	0.046126256170488503	NaN	-1
GO:0051082	unfolded protein binding	0.0226319393959072	NaN	-1
GO:0004386	helicase activity	0.0195396156785555	NaN	-1
GO:0016706	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	0.021968301306066501	NaN	-1
GO:0006281	DNA repair	0.0100331723510966	NaN	-1
GO:0008026	ATP-dependent helicase activity	0.0103107683593228	NaN	-1
GO:0006260	DNA replication	0.0087278887491649207	NaN	-1
GO:0003684	damaged DNA binding	0.0325810608314515	NaN	-1
GO:0003777	microtubule motor activity	0.0164149802544373	NaN	-1
GO:0003887	DNA-directed DNA polymerase activity	0.0087869254984788096	NaN	-1
GO:0005351	sugar:proton symporter activity	0.0362669786354885	NaN	-1
GO:0008017	microtubule binding	0.047458276833957501	NaN	-1
GO:0008484	sulfuric ester hydrolase activity	0.028140051093280698	NaN	-1
GO:0022857	transmembrane transporter activity	0.038838880492503398	NaN	-1
