category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology
1533	GO:0008597	0.00592603075583002	0.998783833624645	6	48	calcium-dependent protein serine/threonine phosphatase regulator activity	MF
1906	GO:0015071	0.00592603075583002	0.998783833624645	6	48	NA	NA
2298	GO:0017018	0.00592603075583002	0.998783833624645	6	48	myosin phosphatase activity	MF
2299	GO:0017020	0.00592603075583002	0.998783833624645	6	48	myosin phosphatase regulator activity	MF
2300	GO:0017023	0.00592603075583002	0.998783833624645	6	48	myosin phosphatase complex	CC
2650	GO:0030357	0.00592603075583002	0.998783833624645	6	48	NA	NA
284	GO:0003995	0.0062616812614427	0.999245569726621	4	18	acyl-CoA dehydrogenase activity	MF
2028	GO:0016021	0.00709902078411638	0.995385687286687	57	1369	integral component of membrane	CC
839	GO:0004869	0.0084087721809186	0.999745790406813	2	5	cysteine-type endopeptidase inhibitor activity	MF
1170	GO:0006470	0.00854996895714749	0.997523923694188	8	103	protein dephosphorylation	BP
889	GO:0005328	0.00906542798358193	0.999824710412436	2	3	neurotransmitter:sodium symporter activity	MF
890	GO:0005332	0.00906542798358193	0.999824710412436	2	3	gamma-aminobutyric acid:sodium symporter activity	MF
1287	GO:0006836	0.00906542798358193	0.999824710412436	2	3	neurotransmitter transport	BP
1038	GO:0006071	0.00923484849073933	0.999746705828366	2	4	glycerol metabolic process	BP
859	GO:0005094	0.00929954876313637	1	1	1	Rho GDP-dissociation inhibitor activity	MF
2892	GO:0043169	0.00969058629744754	0.998620461121879	4	24	cation binding	MF
1051	GO:0006097	0.011540189396467	0.999643937238691	2	4	glyoxylate cycle	BP
258	GO:0003956	0.0118306197093234	0.998283371045446	4	18	NAD(P)+-protein-arginine ADP-ribosyltransferase activity	MF
881	GO:0005262	0.0125361555551844	0.999711926313372	2	3	calcium channel activity	MF
1509	GO:0008519	0.0130058962930004	0.998642757197779	3	18	ammonium transmembrane transporter activity	MF
3236	GO:0055114	0.0130895284701188	0.991394684175077	51	1193	oxidation-reduction process	BP
1171	GO:0006471	0.0147489886772316	0.997677299892789	4	20	protein ADP-ribosylation	BP
1431	GO:0008287	0.0159487902202437	0.99818144674067	3	20	protein serine/threonine phosphatase complex	CC
1828	GO:0009405	0.016404478969448	0.998253886622538	3	12	pathogenesis	BP
2663	GO:0030532	0.0179613857468568	0.999918803356326	1	2	small nuclear ribonucleoprotein complex	CC
27	GO:0000124	0.0183967403824429	0.999914800661496	1	2	SAGA complex	CC
1567	GO:0008691	0.019582793020036	0.998940561694001	2	7	3-hydroxybutyryl-CoA dehydrogenase activity	MF
1624	GO:0008810	0.0203192688285484	1	1	1	cellulase activity	MF
2603	GO:0030042	0.0203991449794518	1	1	1	actin filament depolymerization	BP
2568	GO:0019789	0.0234183922420308	0.999861586319995	1	2	SUMO transferase activity	MF
1270	GO:0006801	0.0244960785465538	0.998505694973471	2	7	superoxide metabolic process	BP
2158	GO:0016620	0.0246100353952681	0.995233443822867	4	33	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	MF
1688	GO:0008943	0.0254836839006689	0.996694026444489	3	14	NA	NA
841	GO:0004872	0.0255813589191289	0.996530743274594	3	19	receptor activity	MF
738	GO:0004722	0.0256312880597542	0.994901744810433	4	41	protein serine/threonine phosphatase activity	MF
2618	GO:0030148	0.0275199162571619	1	1	1	sphingolipid biosynthetic process	BP
2825	GO:0042284	0.0275199162571619	1	1	1	sphingolipid delta-4 desaturase activity	MF
2161	GO:0016627	0.0284084366591193	0.994249294163037	4	33	oxidoreductase activity, acting on the CH-CH group of donors	MF
1345	GO:0007186	0.0329726150814928	0.989869125349904	6	82	G-protein coupled receptor signaling pathway	BP
2181	GO:0016702	0.0332044180559582	0.995171794282942	3	15	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	MF
497	GO:0004365	0.0332385412358061	0.995118778345464	3	16	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	MF
666	GO:0004639	0.0338321917404005	1	1	1	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	MF
2136	GO:0016491	0.034611794015007	0.976162309593766	47	1167	oxidoreductase activity	MF
2280	GO:0016937	0.036080158083237	0.997420587889244	2	6	short-branched-chain-acyl-CoA dehydrogenase activity	MF
2318	GO:0017099	0.036080158083237	0.997420587889244	2	6	very-long-chain-acyl-CoA dehydrogenase activity	MF
2481	GO:0019109	0.036080158083237	0.997420587889244	2	6	NA	NA
498	GO:0004366	0.0366776145332255	1	1	1	glycerol-3-phosphate O-acyltransferase activity	MF
1243	GO:0006650	0.0366776145332255	1	1	1	glycerophospholipid metabolic process	BP
2923	GO:0044070	0.0369763090957937	1	1	1	regulation of anion transport	BP
2474	GO:0019001	0.0378580263550724	0.996630691224318	2	15	guanyl nucleotide binding	MF
2721	GO:0031683	0.0378580263550724	0.996630691224318	2	15	G-protein beta/gamma-subunit complex binding	MF
1059	GO:0006120	0.0385242274853699	0.999497786693715	1	3	mitochondrial electron transport, NADH to ubiquinone	BP
664	GO:0004637	0.0391610478933758	0.997070978527189	2	6	phosphoribosylamine-glycine ligase activity	MF
840	GO:0004871	0.039873705812151	0.987230037111904	6	75	signal transducer activity	MF
3120	GO:0050096	0.0410665340273589	1	1	1	methylaspartate ammonia-lyase activity	MF
1343	GO:0007165	0.0417303407062251	0.977858924826489	16	276	signal transduction	BP
1001	GO:0005952	0.0419288868427784	0.988210672294234	5	52	cAMP-dependent protein kinase complex	CC
529	GO:0004411	0.0419581730407154	1	1	1	homogentisate 1,2-dioxygenase activity	MF
1223	GO:0006572	0.0419581730407154	1	1	1	tyrosine catabolic process	BP
3289	GO:1901023	0.0423970292760646	0.992790403541797	3	26	4-hydroxyphenylacetate catabolic process	BP
1535	GO:0008603	0.0428581452668714	0.9878663887738	5	53	cAMP-dependent protein kinase regulator activity	MF
1312	GO:0006939	0.0429982484583087	1	1	1	smooth muscle contraction	BP
725	GO:0004707	0.0451127001360443	0.985036161838727	6	89	MAP kinase activity	MF
2654	GO:0030416	0.0460236519965782	1	1	1	methylamine metabolic process	BP
731	GO:0004713	0.049737970106855	0.974193384149633	14	270	protein tyrosine kinase activity	MF
1633	GO:0008830	0.0503007580797655	1	1	1	dTDP-4-dehydrorhamnose 3,5-epimerase activity	MF
1634	GO:0008831	0.0503007580797655	1	1	1	dTDP-4-dehydrorhamnose reductase activity	MF
2574	GO:0019835	0.0539672710194201	0.999007403572445	1	3	cytolysis	BP
1972	GO:0015696	0.0546325335834183	0.994052391857103	2	15	ammonium transport	BP
694	GO:0004672	0.0550132989117818	0.965182751284547	26	666	protein kinase activity	MF
2531	GO:0019430	0.0572383953157769	0.99407772878704	2	9	removal of superoxide radicals	BP
1794	GO:0009308	0.0572412078553229	0.999158459840491	1	2	amine metabolic process	BP
2747	GO:0033177	0.0580915226673074	0.99856439310097	1	6	proton-transporting two-sector ATPase complex, proton-transporting domain	CC
1135	GO:0006406	0.0598662104606228	0.999078238609958	1	2	mRNA export from nucleus	BP
1239	GO:0006635	0.0602317227617531	0.988007723252574	3	34	fatty acid beta-oxidation	BP
865	GO:0005198	0.0603066138214999	0.980952020221315	5	80	structural molecule activity	MF
245	GO:0003936	0.0605498930153168	0.988125084121181	3	26	NA	NA
3276	GO:0072488	0.0606914510116707	0.992947406814287	2	16	ammonium transmembrane transport	BP
646	GO:0004611	0.0610894811012083	1	1	1	phosphoenolpyruvate carboxykinase activity	MF
647	GO:0004612	0.0610894811012083	1	1	1	phosphoenolpyruvate carboxykinase (ATP) activity	MF
2313	GO:0017076	0.0610894811012083	1	1	1	purine nucleotide binding	MF
565	GO:0004471	0.0616786871442225	1	1	1	malate dehydrogenase (decarboxylating) (NAD+) activity	MF
3158	GO:0050660	0.0622599967393503	0.966746855188198	14	222	flavin adenine dinucleotide binding	MF
2525	GO:0019370	0.0626588017110065	1	1	1	leukotriene biosynthetic process	BP
425	GO:0004222	0.0627549734672719	0.971919742074251	9	140	metalloendopeptidase activity	MF
2537	GO:0019478	0.0642540091382757	0.99893571652381	1	2	D-amino acid catabolic process	BP
2690	GO:0031032	0.0643765263680835	0.998580709961826	1	3	actomyosin structure organization	BP
564	GO:0004470	0.0647679108230473	0.998918331443651	1	2	malic enzyme activity	MF
986	GO:0005856	0.0654938150888341	0.982720423481884	4	32	cytoskeleton	CC
704	GO:0004683	0.0655883370703675	0.978823286177655	5	76	calmodulin-dependent protein kinase activity	MF
1851	GO:0009523	0.0659043456822048	0.991718400852612	2	24	photosystem II	CC
905	GO:0005478	0.0659377872339945	0.998509946446899	1	3	NA	NA
1755	GO:0009108	0.0667823206066	0.998848778847081	1	2	coenzyme biosynthetic process	BP
854	GO:0005057	0.0668478422839682	1	1	1	receptor signaling protein activity	MF
563	GO:0004467	0.0669520447063674	0.992627082694687	2	8	long-chain fatty acid-CoA ligase activity	MF
3155	GO:0050613	0.0670271959149986	1	1	1	delta14-sterol reductase activity	MF
1300	GO:0006886	0.0674198056116282	0.966569814378297	11	205	intracellular protein transport	BP
566	GO:0004474	0.0687922705851805	1	1	1	malate synthase activity	MF
2122	GO:0016442	0.0693160538572281	1	1	1	RISC complex	CC
2691	GO:0031047	0.0693160538572281	1	1	1	gene silencing by RNA	BP
1438	GO:0008308	0.0699363427703611	0.998735364465194	1	2	voltage-gated anion channel activity	MF
991	GO:0005882	0.0701826211780267	1	1	1	intermediate filament	CC
1581	GO:0008718	0.0715525160389508	0.998675106529879	1	2	D-amino-acid dehydrogenase activity	MF
1961	GO:0015629	0.0719193800266305	0.990508787150596	2	24	actin cytoskeleton	CC
1058	GO:0006118	0.0748254241268247	0.953592383021694	21	476	NA	NA
997	GO:0005938	0.0752174356583832	1	1	1	cell cortex	CC
2728	GO:0032065	0.0752174356583832	1	1	1	cortical protein anchoring	BP
2513	GO:0019285	0.0752315259941878	0.983829028366997	3	27	glycine betaine biosynthetic process from choline	BP
129	GO:0001888	0.0752596601040053	0.998531378686828	1	2	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity	MF
3057	GO:0047134	0.076183018334461	0.998494381910171	1	2	protein-disulfide reductase activity	MF
1275	GO:0006811	0.0765191724240759	0.961239997289526	11	201	ion transport	BP
2224	GO:0016789	0.0769168939018309	0.989854457082211	2	15	NA	NA
952	GO:0005741	0.0774435709837483	0.973866898213418	5	69	mitochondrial outer membrane	CC
668	GO:0004641	0.0816594253933159	1	1	1	phosphoribosylformylglycinamidine cyclo-ligase activity	MF
721	GO:0004703	0.0828628805458418	0.971378680085529	5	78	G-protein coupled receptor kinase activity	MF
577	GO:0004489	0.083087666120369	0.997148828575754	1	5	methylenetetrahydrofolate reductase (NAD(P)H) activity	MF
1210	GO:0006555	0.083087666120369	0.997148828575754	1	5	methionine metabolic process	BP
237	GO:0003920	0.0832297696709768	0.998196202364007	1	2	GMP reductase activity	MF
3292	GO:1902560	0.0832297696709768	0.998196202364007	1	2	GMP reductase complex	CC
1276	GO:0006812	0.0835210060604083	0.962620347230375	8	112	cation transport	BP
870	GO:0005216	0.08352688930446	0.958588848195959	10	185	ion channel activity	MF
1193	GO:0006522	0.0851757491352048	0.997490983638313	1	3	alanine metabolic process	BP
61	GO:0000253	0.0875808467199846	0.987343148290171	2	18	3-keto sterol reductase activity	MF
580	GO:0004495	0.0875808467199846	0.987343148290171	2	18	mevaldate reductase activity	MF
1656	GO:0008875	0.0875808467199846	0.987343148290171	2	18	gluconate dehydrogenase activity	MF
2064	GO:0016229	0.0875808467199846	0.987343148290171	2	18	steroid dehydrogenase activity	MF
2364	GO:0018451	0.0875808467199846	0.987343148290171	2	18	epoxide dehydrogenase activity	MF
2365	GO:0018452	0.0875808467199846	0.987343148290171	2	18	5-exo-hydroxycamphor dehydrogenase activity	MF
2366	GO:0018453	0.0875808467199846	0.987343148290171	2	18	2-hydroxytetrahydrofuran dehydrogenase activity	MF
3109	GO:0048258	0.0875808467199846	0.987343148290171	2	18	3-ketoglucose-reductase activity	MF
3110	GO:0048269	0.0877416528211672	0.997990482158996	1	2	methionine adenosyltransferase complex	CC
3111	GO:0048270	0.0877416528211672	0.997990482158996	1	2	methionine adenosyltransferase regulator activity	MF
1212	GO:0006559	0.089484583805585	0.997907896019075	1	2	L-phenylalanine catabolic process	BP
569	GO:0004478	0.0895651543545012	0.99721992423573	1	3	methionine adenosyltransferase activity	MF
1457	GO:0008380	0.0910433089538681	0.99712537862339	1	3	RNA splicing	BP
551	GO:0004448	0.0918459003223083	0.986299276818969	2	19	isocitrate dehydrogenase activity	MF
286	GO:0003997	0.0930870599952772	0.997731662648551	1	2	acyl-CoA oxidase activity	MF
124	GO:0001727	0.0938394237581424	0.996942015590175	1	3	lipid kinase activity	MF
871	GO:0005219	0.0942005284748679	1	1	1	ryanodine-sensitive calcium-release channel activity	MF
872	GO:0005220	0.0942005284748679	1	1	1	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	MF
1295	GO:0006874	0.0942005284748679	1	1	1	cellular calcium ion homeostasis	BP
117	GO:0001664	0.0943939230661395	0.997665879759	1	2	G-protein coupled receptor binding	MF
1347	GO:0007189	0.0943939230661395	0.997665879759	1	2	adenylate cyclase-activating G-protein coupled receptor signaling pathway	BP
2051	GO:0016192	0.094456325615983	0.966247293130528	5	68	vesicle-mediated transport	BP
60	GO:0000252	0.0945518772690413	0.98565817607223	2	19	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	MF
1169	GO:0006468	0.0965504164324755	0.935718554300944	25	668	protein phosphorylation	BP
3064	GO:0047304	0.0989553290420055	0.997428511229457	1	2	2-aminoethylphosphonate-pyruvate transaminase activity	MF
1031	GO:0006024	0.0995443799929187	0.996549472459791	1	3	glycosaminoglycan biosynthetic process	BP
1896	GO:0015012	0.0995443799929187	0.996549472459791	1	3	heparan sulfate proteoglycan biosynthetic process	BP
559	GO:0004457	0.100707544182734	0.997334106509838	1	2	lactate dehydrogenase activity	MF
1045	GO:0006089	0.100707544182734	0.997334106509838	1	2	lactate metabolic process	BP
1769	GO:0009190	0.100934015811565	0.975518704723552	3	26	cyclic nucleotide biosynthetic process	BP
2251	GO:0016849	0.100934015811565	0.975518704723552	3	26	phosphorus-oxygen lyase activity	MF
884	GO:0005283	0.101438004393024	0.997294220975848	1	2	sodium:amino acid symporter activity	MF
2197	GO:0016747	0.102643797309846	0.951564990507281	8	169	transferase activity, transferring acyl groups other than amino-acyl groups	MF
1066	GO:0006164	0.103213719549284	0.98387973080796	2	15	purine nucleotide biosynthetic process	BP
838	GO:0004867	0.104156930354489	0.983767492976919	2	14	serine-type endopeptidase inhibitor activity	MF
2057	GO:0016210	0.105027789393525	0.997093656717173	1	2	naringenin-chalcone synthase activity	MF
3195	GO:0051287	0.106503614402202	0.942657090497103	11	240	NAD binding	MF
1651	GO:0008864	0.106936871829388	0.99698390397023	1	2	formyltetrahydrofolate deformylase activity	MF
1373	GO:0008081	0.106970380191428	0.973400945362451	3	26	phosphoric diester hydrolase activity	MF
1313	GO:0006950	0.108143502969904	0.955221337393035	6	96	response to stress	BP
2722	GO:0031929	0.109475705983606	0.995297552470912	1	4	TOR signaling	BP
2723	GO:0031931	0.109475705983606	0.995297552470912	1	4	TORC1 complex	CC
1360	GO:0007585	0.11039761096835	0.995733760574868	1	3	respiratory gaseous exchange	BP
3231	GO:0052855	0.11074874379279	0.994873763241605	1	5	ADP-dependent NAD(P)H-hydrate dehydratase activity	MF
1733	GO:0009055	0.110867929636164	0.963680271992944	4	75	electron carrier activity	MF
1756	GO:0009113	0.113098412967736	0.982346961701323	2	10	purine nucleobase biosynthetic process	BP
62	GO:0000254	0.113843655578157	0.994201814436502	1	7	C-4 methylsterol oxidase activity	MF
2754	GO:0033608	0.114140770562991	0.996550286834029	1	2	formyl-CoA transferase activity	MF
1498	GO:0008479	0.114905788131206	0.994806702474356	1	4	queuine tRNA-ribosyltransferase activity	MF
1758	GO:0009117	0.115245249386927	0.995339913543821	1	3	nucleotide metabolic process	BP
696	GO:0004674	0.116136199724686	0.926689860774186	18	416	protein serine/threonine kinase activity	MF
3103	GO:0048038	0.1164205104411	0.994665202368551	1	4	quinone binding	MF
311	GO:0004030	0.117392722948859	0.996344392372417	1	2	aldehyde dehydrogenase [NAD(P)+] activity	MF
1041	GO:0006081	0.117392722948859	0.996344392372417	1	2	cellular aldehyde metabolic process	BP
2904	GO:0043531	0.119332618299317	0.98047654334997	2	11	ADP binding	MF
1238	GO:0006633	0.119372523070613	0.936398903434652	10	249	fatty acid biosynthetic process	BP
459	GO:0004315	0.119704704263259	0.979757073627655	2	14	3-oxoacyl-[acyl-carrier-protein] synthase activity	MF
924	GO:0005554	0.12000004059133	0.953396332928772	5	108	NA	NA
641	GO:0004602	0.120489638460755	0.993356466601186	1	8	glutathione peroxidase activity	MF
1944	GO:0015379	0.120741029786551	0.996125746646893	1	2	potassium:chloride symporter activity	MF
277	GO:0003988	0.121560455714151	0.994170077583699	1	4	acetyl-CoA C-acyltransferase activity	MF
1416	GO:0008237	0.122898280466682	0.952570825157106	5	64	metallopeptidase activity	MF
570	GO:0004479	0.123443213358208	0.994631909043893	1	3	methionyl-tRNA formyltransferase activity	MF
3274	GO:0071951	0.123443213358208	0.994631909043893	1	3	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA	BP
2333	GO:0017175	0.124622253497616	0.993864097738339	1	4	NA	NA
2156	GO:0016616	0.125347373366551	0.950928428184988	5	85	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	MF
1840	GO:0009450	0.125625180811765	0.977510426066422	2	19	gamma-aminobutyric acid catabolic process	BP
2575	GO:0019843	0.126048731504234	0.99244023647114	1	11	rRNA binding	MF
2255	GO:0016855	0.126339419219577	0.993688868349946	1	4	racemase and epimerase activity, acting on amino acids and derivatives	MF
2633	GO:0030248	0.127531578492858	0.977608045805067	2	14	cellulose binding	MF
1620	GO:0008802	0.128283610195693	0.976658482479301	2	20	betaine-aldehyde dehydrogenase activity	MF
2369	GO:0018480	0.128283610195693	0.976658482479301	2	20	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase activity	MF
2616	GO:0030132	0.130290486849552	0.993999727268589	1	3	clathrin coat of coated pit	CC
779	GO:0004791	0.130546781593986	0.976193591477415	2	18	thioredoxin-disulfide reductase activity	MF
791	GO:0004806	0.131815566777749	0.963706662147414	3	31	triglyceride lipase activity	MF
1329	GO:0007034	0.132341877480072	0.991945920194144	1	8	vacuolar transport	BP
589	GO:0004517	0.132902414334763	0.995274229219463	1	2	nitric-oxide synthase activity	MF
53	GO:0000221	0.13381374723207	0.995206761232308	1	2	vacuolar proton-transporting V-type ATPase, V1 domain	CC
3032	GO:0046872	0.134539347411865	0.912159118833449	19	475	metal ion binding	MF
1715	GO:0009013	0.135822920705139	0.97434587942167	2	21	succinate-semialdehyde dehydrogenase [NAD(P)+] activity	MF
2877	GO:0042981	0.135932871245515	0.99345056349709	1	3	regulation of apoptotic process	BP
3160	GO:0050662	0.136587482756148	0.952104076744634	4	61	coenzyme binding	MF
1873	GO:0009916	0.136711362625019	0.992574665417592	1	4	alternative oxidase activity	MF
3084	GO:0047631	0.136910664619502	0.992075178608139	1	5	ADP-ribose diphosphatase activity	MF
1598	GO:0008756	0.139053631095507	0.961223826139909	3	26	o-succinylbenzoate-CoA ligase activity	MF
554	GO:0004451	0.139202551983441	0.991799284424603	1	5	isocitrate lyase activity	MF
3253	GO:0070588	0.141039136058553	0.974874010083093	2	10	calcium ion transmembrane transport	BP
1417	GO:0008239	0.141276063623354	0.992053722600829	1	4	dipeptidyl-peptidase activity	MF
1320	GO:0007010	0.143247938141402	0.991300044625847	1	5	cytoskeleton organization	BP
3122	GO:0050112	0.144932391481197	0.991087533142442	1	5	inositol 2-dehydrogenase activity	MF
2132	GO:0016469	0.145557007111776	0.957563279034032	3	41	proton-transporting two-sector ATPase complex	CC
2996	GO:0046421	0.145614650637056	0.990386541382472	1	7	methylisocitrate lyase activity	MF
1351	GO:0007242	0.146555453670844	0.947815095914978	4	46	NA	NA
2557	GO:0019684	0.147059489065225	0.990449359790669	1	6	photosynthesis, light reaction	BP
555	GO:0004452	0.147134938373128	0.992283784188497	1	3	isopentenyl-diphosphate delta-isomerase activity	MF
1574	GO:0008704	0.148387120869783	0.990270518891452	1	6	5-carboxymethyl-2-hydroxymuconate delta-isomerase activity	MF
2462	GO:0018800	0.148387120869783	0.990270518891452	1	6	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity	MF
1281	GO:0006820	0.148534568752477	0.971214565075262	2	15	anion transport	BP
851	GO:0005044	0.148697297928421	0.992112890003059	1	3	scavenger receptor activity	MF
1279	GO:0006816	0.149192758909882	0.956860150740058	3	28	calcium ion transport	BP
837	GO:0004866	0.150891200767173	0.99031378113611	1	5	endopeptidase inhibitor activity	MF
1422	GO:0008253	0.152407453272308	0.989718155567978	1	6	5'-nucleotidase activity	MF
3188	GO:0051205	0.154946555378633	0.989360907583118	1	6	protein insertion into membrane	BP
39	GO:0000160	0.155355918932899	0.953243262743443	3	44	phosphorelay signal transduction system	BP
1486	GO:0008451	0.155419456653426	0.990319252435857	1	4	NA	NA
306	GO:0004023	0.155969954460433	0.989215072802111	1	6	alcohol dehydrogenase activity, metal ion-independent	MF
307	GO:0004024	0.155969954460433	0.989215072802111	1	6	alcohol dehydrogenase activity, zinc-dependent	MF
308	GO:0004025	0.155969954460433	0.989215072802111	1	6	alcohol dehydrogenase activity, iron-dependent	MF
2034	GO:0016051	0.156706319740254	0.968262103261682	2	17	carbohydrate biosynthetic process	BP
697	GO:0004675	0.158954879935405	0.94078453265614	4	74	transmembrane receptor protein serine/threonine kinase activity	MF
698	GO:0004676	0.158954879935405	0.94078453265614	4	74	3-phosphoinositide-dependent protein kinase activity	MF
700	GO:0004679	0.158954879935405	0.94078453265614	4	74	AMP-activated protein kinase activity	MF
701	GO:0004680	0.158954879935405	0.94078453265614	4	74	NA	NA
702	GO:0004681	0.158954879935405	0.94078453265614	4	74	NA	NA
706	GO:0004688	0.158954879935405	0.94078453265614	4	74	NA	NA
707	GO:0004689	0.158954879935405	0.94078453265614	4	74	phosphorylase kinase activity	MF
708	GO:0004690	0.158954879935405	0.94078453265614	4	74	cyclic nucleotide-dependent protein kinase activity	MF
712	GO:0004694	0.158954879935405	0.94078453265614	4	74	eukaryotic translation initiation factor 2alpha kinase activity	MF
713	GO:0004695	0.158954879935405	0.94078453265614	4	74	NA	NA
714	GO:0004696	0.158954879935405	0.94078453265614	4	74	NA	NA
716	GO:0004698	0.158954879935405	0.94078453265614	4	74	calcium-dependent protein kinase C activity	MF
718	GO:0004700	0.158954879935405	0.94078453265614	4	74	NA	NA
719	GO:0004701	0.158954879935405	0.94078453265614	4	74	NA	NA
720	GO:0004702	0.158954879935405	0.94078453265614	4	74	receptor signaling protein serine/threonine kinase activity	MF
722	GO:0004704	0.158954879935405	0.94078453265614	4	74	NF-kappaB-inducing kinase activity	MF
723	GO:0004705	0.158954879935405	0.94078453265614	4	74	JUN kinase activity	MF
724	GO:0004706	0.158954879935405	0.94078453265614	4	74	JUN kinase kinase kinase activity	MF
726	GO:0004708	0.158954879935405	0.94078453265614	4	74	MAP kinase kinase activity	MF
728	GO:0004710	0.158954879935405	0.94078453265614	4	74	NA	NA
729	GO:0004711	0.158954879935405	0.94078453265614	4	74	ribosomal protein S6 kinase activity	MF
733	GO:0004715	0.158954879935405	0.94078453265614	4	74	non-membrane spanning protein tyrosine kinase activity	MF
734	GO:0004716	0.158954879935405	0.94078453265614	4	74	receptor signaling protein tyrosine kinase activity	MF
735	GO:0004718	0.158954879935405	0.94078453265614	4	74	NA	NA
1447	GO:0008338	0.158954879935405	0.94078453265614	4	74	NA	NA
1448	GO:0008339	0.158954879935405	0.94078453265614	4	74	NA	NA
1449	GO:0008349	0.158954879935405	0.94078453265614	4	74	MAP kinase kinase kinase kinase activity	MF
1461	GO:0008384	0.158954879935405	0.94078453265614	4	74	IkappaB kinase activity	MF
1480	GO:0008443	0.158954879935405	0.94078453265614	4	74	phosphofructokinase activity	MF
1519	GO:0008545	0.158954879935405	0.94078453265614	4	74	JUN kinase kinase activity	MF
1537	GO:0008607	0.158954879935405	0.94078453265614	4	74	phosphorylase kinase regulator activity	MF
1628	GO:0008819	0.158954879935405	0.94078453265614	4	74	cobinamide kinase activity	MF
2275	GO:0016908	0.158954879935405	0.94078453265614	4	74	NA	NA
2276	GO:0016909	0.158954879935405	0.94078453265614	4	74	SAP kinase activity	MF
2446	GO:0018720	0.158954879935405	0.94078453265614	4	74	phenol kinase activity	MF
2504	GO:0019199	0.158954879935405	0.94078453265614	4	74	transmembrane receptor protein kinase activity	MF
2587	GO:0019912	0.158954879935405	0.94078453265614	4	74	cyclin-dependent protein kinase activating kinase activity	MF
2588	GO:0019914	0.158954879935405	0.94078453265614	4	74	cyclin-dependent protein kinase activating kinase regulator activity	MF
2781	GO:0035004	0.158954879935405	0.94078453265614	4	74	phosphatidylinositol 3-kinase activity	MF
2845	GO:0042556	0.158954879935405	0.94078453265614	4	74	eukaryotic elongation factor-2 kinase regulator activity	MF
2846	GO:0042557	0.158954879935405	0.94078453265614	4	74	eukaryotic elongation factor-2 kinase activator activity	MF
2915	GO:0043824	0.158983599643295	0.990937261818312	1	3	succinylglutamate-semialdehyde dehydrogenase activity	MF
