OG1_5_4873: Emihu1|449185 Emi219|CAMPEP_0187754512 Emi379|CAMPEP_0187623120 Emi370|CAMPEP_0187672074 Emi374|CAMPEP_0187602470
OG1_5_5763: Emi219|CAMPEP_0187749942 Emi370|CAMPEP_0187689248 Emi379|CAMPEP_0187620776 Emihu1|433891 Emi374|CAMPEP_0187579962
OG1_5_5764: Emi219|CAMPEP_0187750212 Emi370|CAMPEP_0187698152 Emi374|CAMPEP_0187580982 Emi379|CAMPEP_0187620880 Emihu1|200255
OG1_5_5765: Emi219|CAMPEP_0187789112 Emi374|CAMPEP_0187595340 Emi370|CAMPEP_0187665232 Emihu1|447828 Emi379|CAMPEP_0187641122
OG1_5_5767: Emi219|CAMPEP_0187750332 Emi379|CAMPEP_0187646104 Emi370|CAMPEP_0187718924 Emi374|CAMPEP_0187575830 Emihu1|66467
OG1_5_5768: Emi219|CAMPEP_0187748346 Emihu1|431895 Emi374|CAMPEP_0187599830 Emi379|CAMPEP_0187634612 Emi370|CAMPEP_0187703568
OG1_5_5769: Emi219|CAMPEP_0187748344 Emi379|CAMPEP_0187614954 Emi374|CAMPEP_0187587032 Emi370|CAMPEP_0187703888 Emihu1|459155
OG1_5_5771: Emi219|CAMPEP_0187748356 Emi379|CAMPEP_0187640750 Emi370|CAMPEP_0187667250 Emi374|CAMPEP_0187607716 Emihu1|202496
OG1_5_5773: Emi219|CAMPEP_0187786562 Emihu1|432924 Emi370|CAMPEP_0187711592 Emi379|CAMPEP_0187642348 Emi374|CAMPEP_0187606716
OG1_5_5774: Emi219|CAMPEP_0187786570 Emi379|CAMPEP_0187638844 Emi370|CAMPEP_0187700934 Emi374|CAMPEP_0187579126 Emihu1|449234
OG1_5_5775: Emi219|CAMPEP_0187748694 Emi374|CAMPEP_0187597662 Emi370|CAMPEP_0187722566 Emi379|CAMPEP_0187649070 Emihu1|350992
OG1_5_5776: Emi219|CAMPEP_0187748704 Emi374|CAMPEP_0187600490 Emihu1|433441 Emi370|CAMPEP_0187703370 Emi379|CAMPEP_0187613258
OG1_5_5778: Emi219|CAMPEP_0187748972 Emi379|CAMPEP_0187616586 Emi370|CAMPEP_0187705334 Emi374|CAMPEP_0187606200 Emihu1|194356
OG1_5_5779: Emi219|CAMPEP_0187749240 Emihu1|100138 Emi370|CAMPEP_0187728716 Emi379|CAMPEP_0187644296 Emi374|CAMPEP_0187574546
OG1_5_5780: Emi219|CAMPEP_0187749246 Emi374|CAMPEP_0187588584 Emi370|CAMPEP_0187679292 Emi379|CAMPEP_0187641356 Emihu1|125202
OG1_5_5781: Emi219|CAMPEP_0187749514 Emi370|CAMPEP_0187678398 Emi379|CAMPEP_0187635266 Emi374|CAMPEP_0187594186 Emihu1|455762
OG1_5_5782: Emi219|CAMPEP_0187749524 Emi379|CAMPEP_0187654926 Emihu1|217667 Emi370|CAMPEP_0187659620 Emi374|CAMPEP_0187575836
OG1_5_5783: Emi219|CAMPEP_0187749674 Emi374|CAMPEP_0187576946 Emi379|CAMPEP_0187657240 Emi370|CAMPEP_0187698304 Emihu1|434802
OG1_5_5784: Emi219|CAMPEP_0187749822 Emi370|CAMPEP_0187680312 Emi374|CAMPEP_0187579884 Emi379|CAMPEP_0187615570 Emihu1|450279
OG1_5_5785: Emi219|CAMPEP_0187749826 Emi379|CAMPEP_0187638548 Emi374|CAMPEP_0187582620 Emi370|CAMPEP_0187675526 Emihu1|469266
OG1_5_5786: Emi219|CAMPEP_0187749946 Emi379|CAMPEP_0187621974 Emi374|CAMPEP_0187584118 Emi370|CAMPEP_0187669588 Emihu1|206138
OG1_5_5788: Emi219|CAMPEP_0187748364 Emi379|CAMPEP_0187654244 Emihu1|455557 Emi370|CAMPEP_0187704090 Emi374|CAMPEP_0187585546
OG1_5_5789: Emi219|CAMPEP_0187748378 Emi374|CAMPEP_0187582524 Emi379|CAMPEP_0187612474 Emi370|CAMPEP_0187699760 Emihu1|253200
OG1_5_5790: Emi219|CAMPEP_0187786394 Emi370|CAMPEP_0187735166 Emi379|CAMPEP_0187657906 Emi374|CAMPEP_0187611264 Emihu1|353339
OG1_5_5791: Emi219|CAMPEP_0187786940 Emihu1|65826 Emi374|CAMPEP_0187604894 Emi379|CAMPEP_0187637428 Emi370|CAMPEP_0187687900
OG1_5_5792: Emi219|CAMPEP_0187748986 Emi374|CAMPEP_0187579648 Emi379|CAMPEP_0187633656 Emi370|CAMPEP_0187697260 Emihu1|438618
OG1_5_5793: Emi219|CAMPEP_0187749264 Emi370|CAMPEP_0187735070 Emi379|CAMPEP_0187615786 Emihu1|74380 Emi374|CAMPEP_0187600374
OG1_5_5794: Emi219|CAMPEP_0187749270 Emi379|CAMPEP_0187620360 Emi374|CAMPEP_0187597978 Emi370|CAMPEP_0187666756 Emihu1|205041
OG1_5_5795: Emi219|CAMPEP_0187749272 Emihu1|434624 Emi370|CAMPEP_0187681170 Emi374|CAMPEP_0187611592 Emi379|CAMPEP_0187616394
OG1_5_5796: Emi219|CAMPEP_0187749828 Emihu1|426517 Emi379|CAMPEP_0187640920 Emi370|CAMPEP_0187698794 Emi374|CAMPEP_0187596496
OG1_5_5798: Emi219|CAMPEP_0187749836 Emi374|CAMPEP_0187584006 Emihu1|447446 Emi379|CAMPEP_0187616414 Emi370|CAMPEP_0187687232
OG1_5_5799: Emi219|CAMPEP_0187749950 Emi374|CAMPEP_0187606966 Emi379|CAMPEP_0187637556 Emihu1|430044 Emi370|CAMPEP_0187703572
OG1_5_5800: Emi219|CAMPEP_0187749952 Emi379|CAMPEP_0187614010 Emi370|CAMPEP_0187689148 Emihu1|466778 Emi374|CAMPEP_0187609312
OG1_5_5801: Emi219|CAMPEP_0187750228 Emi379|CAMPEP_0187626736 Emi374|CAMPEP_0187594204 Emi370|CAMPEP_0187725294 Emihu1|450965
OG1_5_5802: Emi219|CAMPEP_0187750234 Emi374|CAMPEP_0187609640 Emi379|CAMPEP_0187628668 Emi370|CAMPEP_0187735726 Emihu1|449345
OG1_5_5803: Emi219|CAMPEP_0187750342 Emi374|CAMPEP_0187580326 Emi370|CAMPEP_0187682582 Emi379|CAMPEP_0187625704 Emihu1|453822
OG1_5_5804: Emi219|CAMPEP_0187789508 Emi370|CAMPEP_0187684650 Emi379|CAMPEP_0187642138 Emi374|CAMPEP_0187604996 Emihu1|440021
OG1_5_5807: Emi219|CAMPEP_0187748594 Emi374|CAMPEP_0187606130 Emi379|CAMPEP_0187637562 Emi370|CAMPEP_0187686364 Emihu1|98459
OG1_5_5808: Emi219|CAMPEP_0187786592 Emi374|CAMPEP_0187589264 Emi370|CAMPEP_0187711688 Emi379|CAMPEP_0187653994 Emihu1|234154
OG1_5_5809: Emi219|CAMPEP_0187748602 Emi370|CAMPEP_0187687164 Emi374|CAMPEP_0187594054 Emi379|CAMPEP_0187628974 Emihu1|420548
OG1_5_5810: Emi219|CAMPEP_0187749282 Emi374|CAMPEP_0187585244 Emi379|CAMPEP_0187627706 Emi370|CAMPEP_0187734314 Emihu1|361748
OG1_5_5811: Emi219|CAMPEP_0187749296 Emi379|CAMPEP_0187625826 Emi374|CAMPEP_0187590260 Emi370|CAMPEP_0187682974 Emihu1|218313
OG1_5_5812: Emi219|CAMPEP_0187749284 Emi370|CAMPEP_0187680804 Emihu1|422783 Emi374|CAMPEP_0187576526 Emi379|CAMPEP_0187649012
OG1_5_5813: Emi219|CAMPEP_0187749290 Emi370|CAMPEP_0187705496 Emihu1|436051 Emi374|CAMPEP_0187594334 Emi379|CAMPEP_0187620408
OG1_5_5814: Emi219|CAMPEP_0187749536 Emi379|CAMPEP_0187629252 Emi374|CAMPEP_0187589204 Emihu1|452781 Emi370|CAMPEP_0187669840
OG1_5_5815: Emi219|CAMPEP_0187787206 Emi370|CAMPEP_0187660338 Emihu1|453191 Emi379|CAMPEP_0187622226 Emi374|CAMPEP_0187593892
OG1_5_5816: Emi219|CAMPEP_0187749702 Emi374|CAMPEP_0187612006 Emi370|CAMPEP_0187684548 Emi379|CAMPEP_0187622810 Emihu1|309295
OG1_5_5817: Emi219|CAMPEP_0187750094 Emi370|CAMPEP_0187728606 Emi379|CAMPEP_0187633306 Emi374|CAMPEP_0187604404 Emihu1|242945
OG1_5_5818: Emi219|CAMPEP_0187750244 Emi370|CAMPEP_0187666768 Emi379|CAMPEP_0187619442 Emi374|CAMPEP_0187590920 Emihu1|432259
OG1_5_5819: Emi219|CAMPEP_0187750236 Emi374|CAMPEP_0187602404 Emi370|CAMPEP_0187668094 Emi379|CAMPEP_0187639456 Emihu1|72710
OG1_5_5820: Emi219|CAMPEP_0187789172 Emi379|CAMPEP_0187619206 Emi370|CAMPEP_0187726468 Emihu1|217142 Emi374|CAMPEP_0187603268
OG1_5_5821: Emi219|CAMPEP_0187750360 Emi379|CAMPEP_0187614744 Emihu1|454906 Emi374|CAMPEP_0187591716 Emi370|CAMPEP_0187679052
OG1_5_5822: Emi219|CAMPEP_0187748600 Emihu1|428604 Emi370|CAMPEP_0187681052 Emi379|CAMPEP_0187620544 Emi374|CAMPEP_0187603674
OG1_5_5823: Emi219|CAMPEP_0187786596 Emi370|CAMPEP_0187685204 Emi379|CAMPEP_0187622936 Emi374|CAMPEP_0187603826 Emihu1|59424
OG1_5_5824: Emi219|CAMPEP_0187748616 Emi370|CAMPEP_0187660774 Emihu1|439085 Emi379|CAMPEP_0187615342 Emi374|CAMPEP_0187581856
OG1_5_5825: Emi219|CAMPEP_0187748612 Emi379|CAMPEP_0187638640 Emi370|CAMPEP_0187705812 Emi374|CAMPEP_0187597664 Emihu1|118695
OG1_5_5826: Emi219|CAMPEP_0187748756 Emi379|CAMPEP_0187655434 Emihu1|433832 Emi370|CAMPEP_0187660144 Emi374|CAMPEP_0187602204
OG1_5_5827: Emi219|CAMPEP_0187748758 Emi374|CAMPEP_0187599774 Emi370|CAMPEP_0187692416 Emi379|CAMPEP_0187614914 Emihu1|233952
OG1_5_5828: Emi219|CAMPEP_0187786840 Emi374|CAMPEP_0187588264 Emi370|CAMPEP_0187728524 Emi379|CAMPEP_0187620278 Emihu1|456273
OG1_5_5829: Emi219|CAMPEP_0187749002 Emihu1|434786 Emi370|CAMPEP_0187703484 Emi374|CAMPEP_0187593912 Emi379|CAMPEP_0187622438
OG1_5_5830: Emi219|CAMPEP_0187787076 Emi379|CAMPEP_0187646268 Emi370|CAMPEP_0187693530 Emihu1|310533 Emi374|CAMPEP_0187600738
OG1_5_5831: Emi219|CAMPEP_0187749298 Emi374|CAMPEP_0187612144 Emi370|CAMPEP_0187674570 Emihu1|202495 Emi379|CAMPEP_0187617686
OG1_5_5832: Emi219|CAMPEP_0187749548 Emi379|CAMPEP_0187642484 Emi370|CAMPEP_0187683554 Emihu1|100417 Emi374|CAMPEP_0187606038
OG1_5_5833: Emi219|CAMPEP_0187749558 Emi370|CAMPEP_0187665602 Emi374|CAMPEP_0187581100 Emi379|CAMPEP_0187637312 Emihu1|463287
OG1_5_5834: Emi219|CAMPEP_0187749554 Emi370|CAMPEP_0187679034 Emi379|CAMPEP_0187639214 Emi374|CAMPEP_0187589732 Emihu1|56777
OG1_5_5835: Emi219|CAMPEP_0187749704 Emi374|CAMPEP_0187599032 Emi370|CAMPEP_0187704744 Emi379|CAMPEP_0187635016 Emihu1|210156
OG1_5_5836: Emi219|CAMPEP_0187749706 Emi374|CAMPEP_0187596820 Emi379|CAMPEP_0187638256 Emi370|CAMPEP_0187711382 Emihu1|104702
OG1_5_5837: Emi219|CAMPEP_0187749852 Emi379|CAMPEP_0187629560 Emi374|CAMPEP_0187593020 Emi370|CAMPEP_0187701506 Emihu1|442172
OG1_5_5838: Emi219|CAMPEP_0187749964 Emi379|CAMPEP_0187627988 Emi370|CAMPEP_0187718618 Emi374|CAMPEP_0187575848 Emihu1|438929
OG1_5_5839: Emi219|CAMPEP_0187750102 Emi379|CAMPEP_0187625858 Emi370|CAMPEP_0187700332 Emi374|CAMPEP_0187583942 Emihu1|239468
OG1_5_5840: Emi219|CAMPEP_0187750252 Emi374|CAMPEP_0187581546 Emi370|CAMPEP_0187705514 Emihu1|436031 Emi379|CAMPEP_0187622518
OG1_5_5842: Emi219|CAMPEP_0187750482 Emi370|CAMPEP_0187687664 Emi374|CAMPEP_0187581164 Emi379|CAMPEP_0187620824 Emihu1|415128
OG1_5_5843: Emi219|CAMPEP_0187750478 Emi370|CAMPEP_0187705758 Emi379|CAMPEP_0187622446 Emihu1|213135 Emi374|CAMPEP_0187601854
OG1_5_5844: Emi219|CAMPEP_0187748618 Emi379|CAMPEP_0187646284 Emi370|CAMPEP_0187704952 Emihu1|371332 Emi374|CAMPEP_0187600090
OG1_5_5845: Emi219|CAMPEP_0187786610 Emi379|CAMPEP_0187653716 Emi370|CAMPEP_0187678590 Emi374|CAMPEP_0187606736 Emihu1|201102
OG1_5_5846: Emi219|CAMPEP_0187748626 Emi379|CAMPEP_0187615720 Emi374|CAMPEP_0187604522 Emi370|CAMPEP_0187662952 Emihu1|449787
OG1_5_5847: Emi219|CAMPEP_0187786612 Emi379|CAMPEP_0187645918 Emi374|CAMPEP_0187586198 Emi370|CAMPEP_0187718798 Emihu1|463555
OG1_5_5848: Emi219|CAMPEP_0187748776 Emi370|CAMPEP_0187685918 Emi374|CAMPEP_0187582872 Emi379|CAMPEP_0187624028 Emihu1|109394
OG1_5_5850: Emi219|CAMPEP_0187749032 Emi370|CAMPEP_0187733572 Emi379|CAMPEP_0187615384 Emi374|CAMPEP_0187588544 Emihu1|432486
OG1_5_5851: Emi219|CAMPEP_0187749028 Emi379|CAMPEP_0187638670 Emi374|CAMPEP_0187589458 Emi370|CAMPEP_0187715670 Emihu1|470635
OG1_5_5852: Emi219|CAMPEP_0187749036 Emi379|CAMPEP_0187616954 Emi370|CAMPEP_0187687754 Emi374|CAMPEP_0187578518 Emihu1|456661
OG1_5_5853: Emi219|CAMPEP_0187786980 Emi374|CAMPEP_0187584280 Emi370|CAMPEP_0187675454 Emihu1|432789 Emi379|CAMPEP_0187654772
OG1_5_5854: Emi219|CAMPEP_0187749044 Emihu1|445262 Emi374|CAMPEP_0187579158 Emi370|CAMPEP_0187700404 Emi379|CAMPEP_0187656964
OG1_5_5855: Emi219|CAMPEP_0187749302 Emi370|CAMPEP_0187722692 Emi379|CAMPEP_0187622716 Emi374|CAMPEP_0187596216 Emihu1|423736
OG1_5_5856: Emi219|CAMPEP_0187749310 Emi379|CAMPEP_0187642338 Emi370|CAMPEP_0187685740 Emi374|CAMPEP_0187589820 Emihu1|414694
OG1_5_5857: Emi219|CAMPEP_0187736440 Emi370|CAMPEP_0187694126 Emi374|CAMPEP_0187594136 Emi379|CAMPEP_0187621110 Emihu1|362268
OG1_5_5858: Emi219|CAMPEP_0187749562 Emihu1|443181 Emi370|CAMPEP_0187675682 Emi379|CAMPEP_0187615182 Emi374|CAMPEP_0187586628
OG1_5_5859: Emi219|CAMPEP_0187749716 Emi374|CAMPEP_0187576828 Emihu1|450994 Emi379|CAMPEP_0187642512 Emi370|CAMPEP_0187687556
OG1_5_5860: Emi219|CAMPEP_0187749722 Emi374|CAMPEP_0187588808 Emi370|CAMPEP_0187695736 Emi379|CAMPEP_0187637314 Emihu1|427260
OG1_5_5861: Emi219|CAMPEP_0187749864 Emi374|CAMPEP_0187592616 Emihu1|441453 Emi370|CAMPEP_0187694920 Emi379|CAMPEP_0187637102
OG1_5_5862: Emi219|CAMPEP_0187749984 Emi374|CAMPEP_0187604306 Emi370|CAMPEP_0187691424 Emihu1|431800 Emi379|CAMPEP_0187646000
OG1_5_5864: Emi219|CAMPEP_0187786446 Emihu1|436348 Emi379|CAMPEP_0187626942 Emi374|CAMPEP_0187606796 Emi370|CAMPEP_0187705052
OG1_5_5865: Emi219|CAMPEP_0187748636 Emi374|CAMPEP_0187575686 Emi370|CAMPEP_0187668788 Emi379|CAMPEP_0187646080 Emihu1|434519
OG1_5_5866: Emi219|CAMPEP_0187786622 Emi370|CAMPEP_0187670500 Emi379|CAMPEP_0187642462 Emi374|CAMPEP_0187605600 Emihu1|54868
OG1_5_5867: Emi219|CAMPEP_0187748632 Emihu1|450954 Emi370|CAMPEP_0187679740 Emi379|CAMPEP_0187623534 Emi374|CAMPEP_0187600520
OG1_5_5869: Emi219|CAMPEP_0187748802 Emi374|CAMPEP_0187612066 Emi370|CAMPEP_0187705322 Emi379|CAMPEP_0187623350 Emihu1|352859
OG1_5_5870: Emi219|CAMPEP_0187749058 Emi379|CAMPEP_0187616474 Emi374|CAMPEP_0187574610 Emi370|CAMPEP_0187729794 Emihu1|198981
OG1_5_5871: Emi219|CAMPEP_0187749324 Emi379|CAMPEP_0187654844 Emi370|CAMPEP_0187707008 Emihu1|60950 Emi374|CAMPEP_0187585914
OG1_5_5872: Emi219|CAMPEP_0187749734 Emi374|CAMPEP_0187591820 Emihu1|426057 Emi370|CAMPEP_0187705374 Emi379|CAMPEP_0187635416
OG1_5_5873: Emi219|CAMPEP_0187750142 Emi379|CAMPEP_0187637524 Emi374|CAMPEP_0187577988 Emi370|CAMPEP_0187679226 Emihu1|439923
