term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0019789,"SUMO ligase activity",0.005%, 3.354, 6.595,3.399,-1.4447,0.871,0.337,19789,0
GO:0005506,"iron ion binding",2.467%, 7.213, 0.452,6.067,-1.6114,0.925,0.338,5506,0
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",1.929%, 2.153,-7.025,5.960,-1.4869,0.869,0.367,16616,0
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",0.362%,-6.833,-0.988,5.233,-1.5634,0.781,0.500,46933,0
GO:0046961,"proton-transporting ATPase activity, rotational mechanism",0.159%,null,null,4.875,-1.4713,0.788,0.922,46933,1
GO:0003905,"alkylbase DNA N-glycosylase activity",0.070%,-8.190,-0.122,4.519,-1.3781,0.874,0.519,3905,0
GO:0008519,"ammonium transmembrane transporter activity",0.050%,-5.448,-1.810,4.370,-1.4993,0.873,0.537,8519,0
GO:0008691,"3-hydroxybutyryl-CoA dehydrogenase activity",0.007%, 1.777,-7.221,3.535,-1.4354,0.888,0.546,8691,0
GO:0004869,"cysteine-type endopeptidase inhibitor activity",0.025%, 0.691,-1.307,4.077,-1.8020,0.930,0.568,4869,0
GO:0004639,"phosphoribosylaminoimidazolesuccinocarboxamide synthase activity",0.043%, 2.907, 6.567,4.306,-1.3185,0.864,0.589,4639,0
GO:0003756,"protein disulfide isomerase activity",0.017%, 3.787, 1.260,3.896,-1.3946,0.915,0.590,3756,0
GO:0004298,"threonine-type endopeptidase activity",0.068%,-7.171, 0.888,4.506,-1.8960,0.873,0.601,4298,0
GO:0005262,"calcium channel activity",0.018%,-5.341,-2.130,3.921,-1.6882,0.865,0.767,5262,0
GO:0003779,"actin binding",0.080%, 4.811,-1.895,4.579,-3.6334,0.873,0.788,3779,0
GO:0016878,"acid-thiol ligase activity",0.183%, 3.148, 6.948,4.937,-2.2063,0.833,0.826,16878,0
GO:0008756,"o-succinylbenzoate-CoA ligase activity",0.022%, 3.335, 6.989,4.020,-2.1826,0.843,0.843,8756,0
GO:0015631,"tubulin binding",0.066%, 7.889,-1.285,4.495,-1.8545,0.874,0.888,15631,0
