KeggID	Kegg Definition	Module ID	Module Definition	Submodule1	Submodule2	SuperModule
K01623	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K02446	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01086	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K04041	fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01100	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01807	rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	M00168	CAM (Crassulacean acid metabolism), dark [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00025	MDH1; malate dehydrogenase [EC:1.1.1.37]	M00168	CAM (Crassulacean acid metabolism), dark [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	M00168	CAM (Crassulacean acid metabolism), dark [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	M00168	CAM (Crassulacean acid metabolism), dark [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	M00169	CAM (Crassulacean acid metabolism), light [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01006	ppdK; pyruvate,orthophosphate dikinase [EC:2.7.9.1]	M00169	CAM (Crassulacean acid metabolism), light [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00051	E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01006	ppdK; pyruvate,orthophosphate dikinase [EC:2.7.9.1]	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K14454	GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K14455	GOT2; aspartate aminotransferase, mitochondrial [EC:2.6.1.1]	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00025	MDH1; malate dehydrogenase [EC:1.1.1.37]	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00028	E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00814	GPT, ALT; alanine transaminase [EC:2.6.1.2]	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K14272	GGAT; glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44 2.6.1.-]	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01006	ppdK; pyruvate,orthophosphate dikinase [EC:2.7.9.1]	M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K14454	GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K14455	GOT2; aspartate aminotransferase, mitochondrial [EC:2.6.1.1]	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K01610	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type [PATH:map01200 map00710]	Carbon fixation	Energy metabolism	Pathway module
K00169	porA; pyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00170	porB; pyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00171	porD; pyruvate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00172	porG; pyruvate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K03737	nifJ; putative pyruvate-flavodoxin oxidoreductase [EC:1.2.7.-]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01007	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01006	ppdK; pyruvate,orthophosphate dikinase [EC:2.7.9.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01959	E6.4.1.1A, pycA; pyruvate carboxylase subunit A [EC:6.4.1.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01960	E6.4.1.1B, pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01958	PC, pyc; pyruvate carboxylase [EC:6.4.1.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01679	E4.2.1.2B, fumC; fumarate hydratase, class II [EC:4.2.1.2]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01678	E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00239	sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00240	sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.99.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00241	sdhC; succinate dehydrogenase cytochrome b556 subunit	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00242	sdhD; succinate dehydrogenase membrane anchor subunit	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.99.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.99.1]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00246	frdC; fumarate reductase subunit C	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00247	frdD; fumarate reductase subunit D	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00174	korA; 2-oxoglutarate ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00175	korB; 2-oxoglutarate ferredoxin oxidoreductase subunit beta [EC:1.2.7.3]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00177	korG; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00176	korD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15230	aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15231	aclB; ATP-citrate lyase beta-subunit [EC:2.3.3.8]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15232	ccsA; citryl-CoA synthetase large subunit [EC:6.2.1.18]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15233	ccsB; citryl-CoA synthetase small subunit	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15234	ccl; citryl-CoA lyase [EC:4.1.3.34]	M00173	Reductive citrate cycle (Arnon-Buchanan cycle) [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K02160	accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01961	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K14468	mcr; malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15017	K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15039	K15039; 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K14469	K14469; acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15018	K15018; 3-hydroxypropionyl-coenzyme A synthetase [EC:6.2.1.36]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15019	K15019; 3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15020	K15020; acryloyl-coenzyme A reductase [EC:1.3.1.84]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01965	PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01966	PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15052	K15052; propionyl-CoA carboxylase [EC:6.4.1.3]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01964	K01964; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15037	K15037; biotin carboxyl carrier protein	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K15036	K15036; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K05606	MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01848	E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01849	E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K11942	E5.4.99.2; methylmalonyl-CoA mutase [EC:5.4.99.2]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K14471	K14471, smtA; succinyl-CoA:(S)- malate CoA transferase subunit A [EC:2.8.3.-]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K14472	smtB; succinyl-CoA:(S)- malate CoA transferase subunit B [EC:2.8.3.-]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00239	sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00240	sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.99.1]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00241	sdhC; succinate dehydrogenase cytochrome b556 subunit	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00242	sdhD; succinate dehydrogenase membrane anchor subunit	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.99.1]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.99.1]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00246	frdC; fumarate reductase subunit C	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K00247	frdD; fumarate reductase subunit D	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]	M00376	3-Hydroxypropionate bi-cycle [PATH:map01200 map00720]	Carbon fixation	Energy metabolism	Pathway module
