KeggID	K1_Kegg Definition	K1_Pathway	K1_Subgroup	K1_Group
K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K08094	hxlB; 6-phospho-3-hexuloisomerase [EC:5.3.1.27]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K08093	hxlA; 3-hexulose-6-phosphate synthase [EC:4.1.2.43]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K13812	fae-hps; bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K13831	hps-phi; 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00948	PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K18124	gdh2, gdhA; glucose/galactose 1-dehydrogenase (NADP+) [EC:1.1.1.360]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K18125	ssgdh; aldose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.359]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01053	E3.1.1.17, gnl, RGN; gluconolactonase [EC:3.1.1.17]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00851	E2.7.1.12, gntK, idnK; gluconokinase [EC:2.7.1.12]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01690	edd; phosphogluconate dehydratase [EC:4.2.1.12]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01625	eda; 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K05308	gnaD; gluconate/galactonate dehydratase [EC:4.2.1.140]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00874	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K18126	sskdgK; 2-dehydro-3-deoxygluconokinase / 2-dehydro-3-deoxygalactonokinase [EC:2.7.1.178]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K11395	kdpgA; 2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K18127	kdgA; 2-dehydro-3-deoxy-D-gluconate aldolase [EC:4.1.2.51]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K18020	cutA1; glyceraldehyde dehydrogenase large subunit [EC:1.2.99.8]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K18021	cutB1; glyceraldehyde dehydrogenase medium subunit [EC:1.2.99.8]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K18022	cutC1; glyceraldehyde dehydrogenase small subunit [EC:1.2.99.8]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K18128	gadh; D-glyceraldehyde dehydrogenase (NADP+) [EC:1.2.1.89]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K03738	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01647	CS, gltA; citrate synthase [EC:2.3.3.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00174	korA; 2-oxoglutarate ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00175	korB; 2-oxoglutarate ferredoxin oxidoreductase subunit beta [EC:1.2.7.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00177	korG; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00176	korD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01899	LSC1; succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01900	LSC2; succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K18118	aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00239	sdhA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00240	sdhB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00241	sdhC; succinate dehydrogenase cytochrome b556 subunit	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00242	sdhD; succinate dehydrogenase membrane anchor subunit	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00235	SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00236	SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00237	SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01676	E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01679	E4.2.1.2B, fumC; fumarate hydratase, class II [EC:4.2.1.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01678	E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00026	MDH2; malate dehydrogenase [EC:1.1.1.37]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00025	MDH1; malate dehydrogenase [EC:1.1.1.37]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01637	E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01638	E2.3.3.9, aceB, glcB; malate synthase [EC:2.3.3.9]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00855	PRK, prkB; phosphoribulokinase [EC:2.7.1.19]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01601	rbcL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01602	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K05298	GAPA; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K02446	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01086	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K04041	fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01100	E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01595	ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14454	GOT1; aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14455	GOT2; aspartate aminotransferase, mitochondrial [EC:2.6.1.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00814	GPT, ALT; alanine transaminase [EC:2.6.1.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14272	GGAT; glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44 2.6.1.-]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01006	ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01610	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00051	E1.1.1.82; malate dehydrogenase (NADP+) [EC:1.1.1.82]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K03737	nifJ; putative pyruvate-flavodoxin oxidoreductase [EC:1.2.7.-]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01007	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01958	PC, pyc; pyruvate carboxylase [EC:6.4.1.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01959	pycA; pyruvate carboxylase subunit A [EC:6.4.1.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01960	pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00246	frdC; fumarate reductase subunit C	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00247	frdD; fumarate reductase subunit	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15230	aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15231	aclB; ATP-citrate lyase beta-subunit [EC:2.3.3.8]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15232	ccsA; citryl-CoA synthetase large subunit [EC:6.2.1.18]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15233	ccsB; citryl-CoA synthetase small subunit	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15234	ccl; citryl-CoA lyase [EC:4.1.3.34]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K02160	accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01961	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01962	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01963	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01964	K01964; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15037	K15037; biotin carboxyl carrier protein	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15036	K15036; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14468	mcr; malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15017	K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15039	K15039; 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14469	K14469; acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15018	K15018; 3-hydroxypropionyl-coenzyme A synthetase [EC:6.2.1.36]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15019	K15019; 3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15020	K15020; acryloyl-coenzyme A reductase [EC:1.3.1.84]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01965	PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01966	PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15052	K15052; propionyl-CoA carboxylase [EC:6.4.1.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K05606	MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01847	MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01848	E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01849	E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K11942	E5.4.99.2; methylmalonyl-CoA mutase [EC:5.4.99.2]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14471	smtA1; succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14472	smtB; succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K08691	mcl; malyl-CoA lyase [EC:4.1.3.24]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14449	K14449, mch; mesaconyl-CoA hydratase [EC:4.2.1.148]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14470	mct; mesaconyl-CoA C1-C4 CoA transferase	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K09709	meh; mesaconyl-C4 CoA hydratase	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15038	K15038; succinyl-CoA reductase [EC:1.2.1.76]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14465	K14465; succinate semialdehyde reductase (NADPH) [EC:1.1.1.-]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14466	K14466; 4-hydroxybutyryl-CoA synthetase (4-hydroxybutyrate-CoA ligase, AMP-forming) [EC:6.2.1.-]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14467	K14467; 4-hydroxybutyryl-CoA synthetase (4-hydroxybutyrate-CoA ligase, AMP-forming) [EC:6.2.1.-]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K14534	abfD; 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K15016	K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01715	crt; enoyl-CoA hydratase [EC:4.2.1.17]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01782	fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K01825	fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K07516	fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00626	E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
K00198	cooS, acsA; carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.99.2 1.2.7.4]	01200 Carbon metabolism [PATH:ko01200]	Overview	Metabolism
