Nutrient ID	Orthologus Group	Transcripts	Up in +N	Up in -P	Up in DSW
P10	OG1_5_3470	Emi374|CAMPEP_0187580214; Emi379|CAMPEP_0187645690; Emi370|CAMPEP_0187729752; Emi219|CAMPEP_0187757238; Emihu1|251982; Emihu1|237438	0	0	0
P11	OG1_5_25996	Emi370|CAMPEP_0187667570; Emihu1|434557	0	0	0
P12	OG1_5_26498	Emi370|CAMPEP_0187718564; Emihu1|369509	0	0	0
P13	OG1_5_2841	Emi374|CAMPEP_0187605194; Emi374|CAMPEP_0187579208; Emi379|CAMPEP_0187658478; Emi370|CAMPEP_0187686836; Emi219|CAMPEP_0187762370; Emi219|CAMPEP_0187782448; Emihu1|309643	0	1	1
P14	OG1_5_2902	Emi374|CAMPEP_0187610106; Emi379|CAMPEP_0187655556; Emi370|CAMPEP_0187691984; Emi370|CAMPEP_0187682044; Emi219|CAMPEP_0187807232; Emihu1|463311; Emihu1|100428	0	0	0
P15	OG1_5_9889	Emi374|CAMPEP_0187581424; Emi370|CAMPEP_0187666168; Emi219|CAMPEP_0187748918; Emihu1|202035	0	0	0
P16	OG1_5_13190	Emi374|CAMPEP_0187589770; Emi370|CAMPEP_0187728656; Emi219|CAMPEP_0187763464; Emihu1|463656	0	0	0
P17	OG1_5_19430	Emihu1|256008; Emihu1|439624	0	0	0
P18	OG1_5_41524	Emihu1|462214	0	0	0
P19	OG1_5_9238	Emi370|CAMPEP_0187705632; Emi219|CAMPEP_0187794604; Emihu1|438712; Emihu1|438750	0	0	0
P20	OG1_5_4774	Emi370|CAMPEP_0187667798; Emi219|CAMPEP_0187759754; Emi219|CAMPEP_0187805344; Emihu1|414308; Emihu1|433041	0	1	0
P21	OG1_5_24834	Emi219|CAMPEP_0187763238; Emihu1|449181	0	0	0
P22	OG1_5_27464	Emi379|CAMPEP_0187638546; Emihu1|237172	0	1	1
P23	OG1_5_35899	Emihu1|123369	0	1	0
P24	OG1_5_24464	Emi219|CAMPEP_0187806238; Emihu1|433779	1	1	1
P25	OG1_5_4741	Emi379|CAMPEP_0187614850; Emi370|CAMPEP_0187687328; Emi219|CAMPEP_0187745962; Emi219|CAMPEP_0187738340; Emihu1|438229	1	1	1
C0	OG1_5_9128	Emihu1|76716; Emihu1|76123; Emihu1|222670; Emihu1|426283	1	1	1
C1	OG1_5_37376	Emihu1|101130	0	0	0
C2	OG1_5_1077	Emi374|CAMPEP_0187597676; Emi374|CAMPEP_0187608790; Emi374|CAMPEP_0187611382; Emi374|CAMPEP_0187577448; Emi379|CAMPEP_0187658694; Emi379|CAMPEP_0187656458; Emi370|CAMPEP_0187733070; Emi370|CAMPEP_0187666706; Emi370|CAMPEP_0187676208; Emi370|CAMPEP_0187705782; Emi370|CAMPEP_0187708976; Emi370|CAMPEP_0187701684; Emi219|CAMPEP_0187807982; Emi219|CAMPEP_0187804520; Emi219|CAMPEP_0187782468; Emi219|CAMPEP_0187774244; Emi219|CAMPEP_0187770168; Emihu1|75032; Emihu1|51239; Emihu1|415047	1	1	1
C3	OG1_5_7953	Emi374|CAMPEP_0187586262; Emi379|CAMPEP_0187621740; Emi370|CAMPEP_0187686418; Emi219|CAMPEP_0187743828; Emihu1|435128	1	1	1
C4	OG1_5_1072	Emi374|CAMPEP_0187606388; Emi374|CAMPEP_0187606276; Emi374|CAMPEP_0187607082; Emi374|CAMPEP_0187586422; Emi374|CAMPEP_0187590174; Emi374|CAMPEP_0187609928; Emi379|CAMPEP_0187620568; Emi379|CAMPEP_0187616594; Emi379|CAMPEP_0187649464; Emi379|CAMPEP_0187639224; Emi370|CAMPEP_0187664874; Emi370|CAMPEP_0187688754; Emi370|CAMPEP_0187690606; Emi370|CAMPEP_0187722900; Emi219|CAMPEP_0187806598; Emi219|CAMPEP_0187803184; Emi219|CAMPEP_0187748740; Emihu1|429294; Emihu1|463095; Emihu1|62350	0	0	0
C5	OG1_5_9313	Emi374|CAMPEP_0187593514; Emi370|CAMPEP_0187700998; Emihu1|115240; Emihu1|226438	0	0	0
C6	OG1_5_10396	Emi374|CAMPEP_0187603734; Emi370|CAMPEP_0187703142; Emi219|CAMPEP_0187794400; Emihu1|67081	0	0	0
C7	OG1_5_13163	Emi379|CAMPEP_0187656256; Emi370|CAMPEP_0187732286; Emi219|CAMPEP_0187764242; Emihu1|72273	0	0	0
C8	OG1_5_2198	Emi374|CAMPEP_0187588656; Emi379|CAMPEP_0187656068; Emi370|CAMPEP_0187669334; Emi370|CAMPEP_0187715850; Emi219|CAMPEP_0187758176; Emi219|CAMPEP_0187754936; Emihu1|439538	0	0	0
C9	OG1_5_4019	Emi374|CAMPEP_0187589846; Emi374|CAMPEP_0187603036; Emi370|CAMPEP_0187724276; Emi370|CAMPEP_0187715766; Emi219|CAMPEP_0187743116; Emihu1|447659	0	0	0
C10	OG1_5_8057	Emi374|CAMPEP_0187587792; Emi379|CAMPEP_0187654872; Emi370|CAMPEP_0187695010; Emi219|CAMPEP_0187771790; Emihu1|449053	0	0	0
C11	OG1_5_3561	Emi374|CAMPEP_0187600146; Emi379|CAMPEP_0187618428; Emi370|CAMPEP_0187660780; Emi219|CAMPEP_0187744526; Emihu1|117549; Emihu1|105293	0	0	0
C12	OG1_5_6138	Emi379|CAMPEP_0187647338; Emi379|CAMPEP_0187632584; Emi370|CAMPEP_0187677178; Emi219|CAMPEP_0187804560; Emihu1|465194	0	0	0
C13	OG1_5_3989	Emi370|CAMPEP_0187727632; Emi370|CAMPEP_0187713406; Emi370|CAMPEP_0187724936; Emi370|CAMPEP_0187724258; Emi219|CAMPEP_0187776154; Emihu1|456048	0	0	0
C14	OG1_5_2052	Emi374|CAMPEP_0187574922; Emi374|CAMPEP_0187578794; Emi379|CAMPEP_0187621978; Emi370|CAMPEP_0187666518; Emi219|CAMPEP_0187801726; Emi219|CAMPEP_0187801318; Emihu1|436956; Emihu1|438955	0	0	0
C15	OG1_5_38891	Emihu1|416800	0	0	0
C16	OG1_5_16524	Emi370|CAMPEP_0187705474; Emi219|CAMPEP_0187742164; Emihu1|103021	0	0	0
C17	OG1_5_8809	Emi374|CAMPEP_0187578034; Emi379|CAMPEP_0187618010; Emi370|CAMPEP_0187668546; Emi219|CAMPEP_0187739490; Emihu1|434034	0	0	0
C18	OG1_5_3380	Emi374|CAMPEP_0187589796; Emi379|CAMPEP_0187625602; Emi219|CAMPEP_0187806128; Emi219|CAMPEP_0187789430; Emihu1|118025; Emihu1|463266	0	0	0
C19	OG1_5_6042	Emi374|CAMPEP_0187592822; Emi379|CAMPEP_0187630340; Emi370|CAMPEP_0187672248; Emi219|CAMPEP_0187754958; Emihu1|464767	0	0	0
C20	OG1_5_38449	Emihu1|229394	0	1	0
C21	OG1_5_12339	Emi370|CAMPEP_0187660478; Emi370|CAMPEP_0187679728; Emi219|CAMPEP_0187745942; Emihu1|454623	0	0	0
C22	OG1_5_13383	Emi374|CAMPEP_0187611740; Emi379|CAMPEP_0187658154; Emi370|CAMPEP_0187663588; Emihu1|219535	0	0	0
C23	OG1_5_1825	Emi374|CAMPEP_0187605314; Emi374|CAMPEP_0187598634; Emi379|CAMPEP_0187627694; Emi370|CAMPEP_0187683550; Emi219|CAMPEP_0187777538; Emi219|CAMPEP_0187736804; Emihu1|467173; Emihu1|467182	0	0	0
C24	OG1_5_1215	Emi374|CAMPEP_0187609874; Emi379|CAMPEP_0187623526; Emi379|CAMPEP_0187657658; Emi379|CAMPEP_0187657148; Emi379|CAMPEP_0187639348; Emi370|CAMPEP_0187732024; Emi370|CAMPEP_0187728980; Emi370|CAMPEP_0187731788; Emi219|CAMPEP_0187803166; Emi219|CAMPEP_0187770896; Emihu1|114989; Emihu1|449116; Emihu1|448907	0	0	0
C25	OG1_5_1205	Emi374|CAMPEP_0187582132; Emi379|CAMPEP_0187638814; Emi370|CAMPEP_0187735194; Emi219|CAMPEP_0187804462; Emihu1|460292; Emihu1|50111; Emihu1|45035; Emihu1|372079; Emihu1|249179; Emihu1|107737; Emihu1|355065; Emihu1|208372; Emihu1|45000	1	1	1
C26	OG1_5_8355	Emi374|CAMPEP_0187577462; Emi379|CAMPEP_0187613902; Emi370|CAMPEP_0187661956; Emi219|CAMPEP_0187761750; Emihu1|431830	1	0	0
C27	OG1_5_7384	Emi374|CAMPEP_0187611828; Emi370|CAMPEP_0187711426; Emi219|CAMPEP_0187780014; Emi219|CAMPEP_0187776734; Emihu1|223499	0	0	0
C28	OG1_5_2050	Emi374|CAMPEP_0187589380; Emi374|CAMPEP_0187608598; Emi379|CAMPEP_0187641700; Emi379|CAMPEP_0187630002; Emi379|CAMPEP_0187654388; Emi379|CAMPEP_0187630254; Emi370|CAMPEP_0187684492; Emihu1|466232	0	1	1
C29	OG1_5_1294	Emi374|CAMPEP_0187581474; Emi374|CAMPEP_0187582840; Emi379|CAMPEP_0187616530; Emi379|CAMPEP_0187626358; Emi370|CAMPEP_0187694856; Emi370|CAMPEP_0187718644; Emi219|CAMPEP_0187804412; Emi219|CAMPEP_0187799490; Emi219|CAMPEP_0187772754; Emihu1|413949; Emihu1|104572	0	0	0
C30	OG1_5_4955	Emi374|CAMPEP_0187589426; Emi370|CAMPEP_0187671406; Emi219|CAMPEP_0187736536; Emihu1|460140; Emihu1|466567	0	0	0
C31	OG1_5_14071	Emi219|CAMPEP_0187777972; Emihu1|74995; Emihu1|214705	0	0	0
C32	OG1_5_1053	Emi374|CAMPEP_0187578384; Emi379|CAMPEP_0187614144; Emi370|CAMPEP_0187734446; Emi370|CAMPEP_0187729574; Emi370|CAMPEP_0187667894; Emi370|CAMPEP_0187689240; Emi370|CAMPEP_0187705278; Emi370|CAMPEP_0187721384; Emi370|CAMPEP_0187710640; Emi219|CAMPEP_0187760732; Emi219|CAMPEP_0187807826; Emi219|CAMPEP_0187804988; Emi219|CAMPEP_0187782280; Emi219|CAMPEP_0187776158; Emi219|CAMPEP_0187783728; Emi219|CAMPEP_0187744154; Emi219|CAMPEP_0187744076; Emi219|CAMPEP_0187747208; Emi219|CAMPEP_0187739788; Emihu1|250817; Emihu1|468587; Emihu1|455760; Emihu1|457495; Emihu1|449985	1	0	0
C33	OG1_5_1635	Emi374|CAMPEP_0187609524; Emi379|CAMPEP_0187621988; Emi370|CAMPEP_0187722868; Emi219|CAMPEP_0187750584; Emi219|CAMPEP_0187744366; Emihu1|120259; Emihu1|99943; Emihu1|200137; Emihu1|198643	0	0	0
C34	OG1_5_3318	Emi374|CAMPEP_0187581330; Emi370|CAMPEP_0187733782; Emi370|CAMPEP_0187674834; Emi219|CAMPEP_0187807874; Emihu1|355949; Emihu1|369392	1	0	1
C35	OG1_5_6176	Emi374|CAMPEP_0187591132; Emi379|CAMPEP_0187629728; Emi370|CAMPEP_0187665298; Emi219|CAMPEP_0187759052; Emihu1|433060	1	0	1
C36	OG1_5_7155	Emi374|CAMPEP_0187594172; Emi379|CAMPEP_0187633908; Emi370|CAMPEP_0187730488; Emi219|CAMPEP_0187779406; Emihu1|415715	0	0	0
C37	OG1_5_1599	Emi374|CAMPEP_0187590766; Emi374|CAMPEP_0187598528; Emi374|CAMPEP_0187576676; Emi379|CAMPEP_0187655176; Emi370|CAMPEP_0187681204; Emi219|CAMPEP_0187774822; Emi219|CAMPEP_0187784068; Emi219|CAMPEP_0187747322; Emihu1|450694	0	0	0
C38	OG1_5_5840	Emi374|CAMPEP_0187581546; Emi379|CAMPEP_0187622518; Emi370|CAMPEP_0187705514; Emi219|CAMPEP_0187750252; Emihu1|436031	1	0	0
C39	OG1_5_2691	Emi379|CAMPEP_0187624716; Emi379|CAMPEP_0187624062; Emi379|CAMPEP_0187654576; Emi379|CAMPEP_0187657812; Emi379|CAMPEP_0187658700; Emi379|CAMPEP_0187631098; Emihu1|239690	0	1	1
C40	OG1_5_21792	Emi219|CAMPEP_0187790762; Emihu1|62679	0	0	0
C41	OG1_5_11133	Emi374|CAMPEP_0187611574; Emi370|CAMPEP_0187666640; Emi219|CAMPEP_0187804586; Emihu1|447939	1	0	0
C42	OG1_5_4593	Emi374|CAMPEP_0187587986; Emi379|CAMPEP_0187631630; Emi370|CAMPEP_0187678588; Emi219|CAMPEP_0187773348; Emihu1|354606; Emihu1|205210	1	0	0
C43	OG1_5_8891	Emi370|CAMPEP_0187662732; Emi219|CAMPEP_0187760174; Emi219|CAMPEP_0187758614; Emihu1|437452	0	0	0
C44	OG1_5_3138	Emi374|CAMPEP_0187582398; Emi379|CAMPEP_0187626142; Emi370|CAMPEP_0187667954; Emi219|CAMPEP_0187794790; Emi219|CAMPEP_0187739296; Emihu1|432493	1	1	1
C45	OG1_5_37663	Emihu1|469783	0	0	0
C46	OG1_5_24285	Emi219|CAMPEP_0187742122; Emihu1|195575	0	0	0
C47	OG1_5_19555	Emihu1|315097; Emihu1|66584	0	0	0
C48	OG1_5_5401	Emi379|CAMPEP_0187654930; Emi370|CAMPEP_0187670420; Emi219|CAMPEP_0187742238; Emihu1|468996; Emihu1|448526	1	0	1
C49	OG1_5_22043	Emi219|CAMPEP_0187753574; Emihu1|356859	0	0	0
C50	OG1_5_13305	Emi379|CAMPEP_0187631498; Emi370|CAMPEP_0187694690; Emi219|CAMPEP_0187766682; Emihu1|203920	0	0	0
C51	OG1_5_36298	Emihu1|373149	0	0	0
C52	OG1_5_8461	Emi379|CAMPEP_0187618850; Emi370|CAMPEP_0187679070; Emi219|CAMPEP_0187761588; Emihu1|196760; Emihu1|196761	0	0	0
C53	OG1_5_18500	Emi370|CAMPEP_0187668076; Emi219|CAMPEP_0187765136; Emihu1|63173	0	0	0
C54	OG1_5_3935	Emi374|CAMPEP_0187610370; Emi379|CAMPEP_0187632604; Emi370|CAMPEP_0187704728; Emi370|CAMPEP_0187701064; Emi219|CAMPEP_0187747838; Emihu1|464223	0	0	0
C55	OG1_5_2387	Emi374|CAMPEP_0187585782; Emi379|CAMPEP_0187614328; Emi370|CAMPEP_0187731316; Emi370|CAMPEP_0187699958; Emi219|CAMPEP_0187805666; Emihu1|457487; Emihu1|457738	0	0	0
C56	OG1_5_17080	Emi370|CAMPEP_0187683602; Emi219|CAMPEP_0187746604; Emihu1|196090	0	0	0
C57	OG1_5_27432	Emi379|CAMPEP_0187617490; Emihu1|352209	0	0	0
C58	OG1_5_17276	Emi374|CAMPEP_0187584770; Emi370|CAMPEP_0187693076; Emihu1|359783	1	1	1
H0	OG1_5_39003	Emihu1|442715	1	0	1
H1	OG1_5_8806	Emi374|CAMPEP_0187603562; Emi379|CAMPEP_0187638886; Emi370|CAMPEP_0187728464; Emi219|CAMPEP_0187765678; Emihu1|439540	0	0	0
H2	OG1_5_1319	Emi374|CAMPEP_0187607342; Emi374|CAMPEP_0187581358; Emi379|CAMPEP_0187616780; Emi379|CAMPEP_0187649360; Emi370|CAMPEP_0187665222; Emi370|CAMPEP_0187697030; Emi370|CAMPEP_0187718810; Emi219|CAMPEP_0187780020; Emi219|CAMPEP_0187768716; Emihu1|437166; Emihu1|438642	1	1	1
H3	OG1_5_6844	Emi374|CAMPEP_0187590510; Emi379|CAMPEP_0187617058; Emi370|CAMPEP_0187726154; Emi219|CAMPEP_0187750700; Emihu1|424199	0	0	0
H4	OG1_5_7835	Emi374|CAMPEP_0187606890; Emi379|CAMPEP_0187645706; Emi370|CAMPEP_0187677610; Emi219|CAMPEP_0187778868; Emihu1|65821	0	0	0
H5	OG1_5_13232	Emi379|CAMPEP_0187628462; Emi370|CAMPEP_0187696330; Emi219|CAMPEP_0187764802; Emihu1|200064	0	0	0
H6	OG1_5_14248	Emi379|CAMPEP_0187654922; Emihu1|421791; Emihu1|420443	0	0	0
H7	OG1_5_7142	Emi374|CAMPEP_0187612094; Emi379|CAMPEP_0187638818; Emi370|CAMPEP_0187701712; Emi219|CAMPEP_0187773488; Emihu1|463753	0	0	0
H8	OG1_5_1923	Emi374|CAMPEP_0187589556; Emi379|CAMPEP_0187628664; Emi370|CAMPEP_0187689192; Emi219|CAMPEP_0187743498; Emihu1|469173; Emihu1|50708; Emihu1|109218; Emihu1|461094	0	0	0
H9	OG1_5_3096	Emi374|CAMPEP_0187589980; Emi379|CAMPEP_0187617302; Emi370|CAMPEP_0187665812; Emi219|CAMPEP_0187773800; Emi219|CAMPEP_0187791936; Emihu1|432393	0	0	0
H10	OG1_5_2168	Emi374|CAMPEP_0187606292; Emi379|CAMPEP_0187614016; Emi370|CAMPEP_0187734460; Emi219|CAMPEP_0187804050; Emi219|CAMPEP_0187801014; Emi219|CAMPEP_0187775462; Emihu1|420435	0	0	0
H11	OG1_5_1098	Emi374|CAMPEP_0187586378; Emi374|CAMPEP_0187611628; Emi379|CAMPEP_0187623996; Emi370|CAMPEP_0187665132; Emi370|CAMPEP_0187694514; Emi370|CAMPEP_0187721526; Emi370|CAMPEP_0187722142; Emi370|CAMPEP_0187722806; Emi219|CAMPEP_0187802600; Emi219|CAMPEP_0187785346; Emi219|CAMPEP_0187782732; Emi219|CAMPEP_0187794538; Emi219|CAMPEP_0187744646; Emihu1|117742; Emihu1|116490; Emihu1|231423; Emihu1|466248	0	0	0
H12	OG1_5_9891	Emi374|CAMPEP_0187582384; Emi379|CAMPEP_0187645334; Emi219|CAMPEP_0187737882; Emihu1|365588	0	0	0
H13	OG1_5_10020	Emi379|CAMPEP_0187631442; Emi370|CAMPEP_0187704652; Emi219|CAMPEP_0187749578; Emihu1|451816	0	0	0
H14	OG1_5_2606	Emi374|CAMPEP_0187577970; Emi374|CAMPEP_0187578418; Emi379|CAMPEP_0187629616; Emi370|CAMPEP_0187727640; Emi370|CAMPEP_0187711462; Emi219|CAMPEP_0187744204; Emihu1|444262	0	0	0
H15	OG1_5_4540	Emi374|CAMPEP_0187584334; Emi379|CAMPEP_0187627184; Emi370|CAMPEP_0187670886; Emi219|CAMPEP_0187736828; Emihu1|470643; Emihu1|456050	0	0	0
H16	OG1_5_6324	Emi374|CAMPEP_0187588216; Emi379|CAMPEP_0187639774; Emi370|CAMPEP_0187730738; Emi219|CAMPEP_0187792358; Emihu1|455543	0	0	0
H17	OG1_5_10007	Emi374|CAMPEP_0187597060; Emi370|CAMPEP_0187693074; Emi219|CAMPEP_0187748796; Emihu1|317236	0	0	0
H18	OG1_5_1732	Emi374|CAMPEP_0187593466; Emi374|CAMPEP_0187609668; Emi379|CAMPEP_0187613088; Emi370|CAMPEP_0187682208; Emi370|CAMPEP_0187716158; Emi370|CAMPEP_0187700188; Emi219|CAMPEP_0187745932; Emihu1|66965; Emihu1|453200	0	0	0
H19	OG1_5_2699	Emi374|CAMPEP_0187609496; Emi379|CAMPEP_0187641974; Emi379|CAMPEP_0187630880; Emi370|CAMPEP_0187694032; Emi219|CAMPEP_0187744394; Emihu1|449934; Emihu1|204139	0	0	0
